IdOwner,Gender,TeamType,CompetitionType,AgeType,IdCompetition,IdConfederation,IdMemberAssociation,Name
AFC,1,0,2,0,7eh9ynr7f0lcp7yv2rm8i3rba,AFC,ALG,Super Cup
AFC,1,0,2,7,6g8hw3acenrw828la7gwx4mvs,AFC,AUS,New South Wales NPL
AFC,1,0,2,7,61fzfjogstjuukzcehighq7mu,AFC,AUS,Queensland NPL
AFC,1,0,2,7,2000000086,AFC,AUS,A-League Men
AFC,1,0,2,7,2rdrisk4vlglfjxwu0precyqd,AFC,AUS,Australia Cup
AFC,1,0,2,7,2mdmx668tyhy4u4z9zszwjv5v,AFC,AUS,Victoria NPL
AFC,1,0,2,7,2000000129,AFC,BAN,Premier League
AFC,1,0,2,7,82wo38rqeizxlfjjhfjy4rx7u,AFC,BHR,Premier League
AFC,1,0,2,7,2b4keg6zj11jyirv5i2y6finp,AFC,CHN,Super Cup
AFC,1,0,2,0,6yz7es2us0y25l8bunboj5mvo,AFC,CHN,Play-offs 1/2
AFC,1,0,2,7,8r98daokeuzsamu5fmjtblqx5,AFC,CHN,China League One
AFC,1,0,2,7,5pq4dbinkmt8ujoepyqzih7iw,AFC,CHN,FA Cup
AFC,1,0,2,7,2000000087,AFC,CHN,Chinese Super League
AFC,1,0,1,7,2000001033,AFC,FRG,AFC Champions League Elite
AFC,1,0,1,7,2000001043,AFC,FRG,AFC Champions League Two
AFC,1,0,2,7,di7752smia5ba7js20dqcxxuo,AFC,HKG,FA Cup
AFC,1,0,2,7,2000000097,AFC,HKG,Premier League
AFC,1,0,2,7,117yqo02rs8dykkxpm274w3bd,AFC,IDN,Super League
AFC,1,0,2,7,2000000169,AFC,IND,I-League
AFC,1,0,2,7,400171208,AFC,IND,Indian Super League
AFC,1,0,2,7,2000000098,AFC,IRN,Persian Gulf Pro League
AFC,1,0,2,7,duuc1qczfnawwncru1ly6o66,AFC,IRQ,Iraqi League
AFC,1,0,2,7,1d2x62ioikj25ukwz7xmoh6,AFC,ISR,Super Cup
AFC,1,0,2,7,cj30195079sdep2imeyt7y47p,AFC,ISR,Toto Cup Ligat Al
AFC,1,0,2,7,bbajzna018c79opa1kl5kmkqo,AFC,JPN,J-League Cup
AFC,1,0,2,7,5z8v4mj6cjs9ex6hdrpourjzh,AFC,JPN,J2 League
AFC,1,0,2,7,96h5txhw7v03w2dgd8a0sjixp,AFC,JPN,Super Cup
AFC,1,0,2,0,8427fbzwxa5w5jlnuretcunhm,AFC,JPN,Play-offs 1/2
AFC,1,0,2,7,b1rveez5u792gess9w3e7v5le,AFC,JPN,J3 League
AFC,1,0,2,7,2000000085,AFC,JPN,J1 League
AFC,1,0,2,7,eve4cbr6ybatmp2qdh0nu7lx9,AFC,KGZ,Premier League
AFC,1,0,2,7,2vuixhagqz7k43f2fswmopit7,AFC,KOR,Play-offs 1/2
AFC,1,0,2,7,b73zounsynk9d3u1p9nvpu7i2,AFC,KOR,K League 2
AFC,1,0,2,7,2000000088,AFC,KOR,K League 1
AFC,1,0,2,7,2000000091,AFC,KSA,Saudi League
AFC,1,0,2,7,f29s2t0c7fvvyx6mn8e5j8h4u,AFC,KSA,Super Cup
AFC,1,0,2,7,326jpj7749ojwqhu3ap27zl77,AFC,KSA,King's Cup
AFC,1,0,2,7,3j81qr7yc4gdnakfwnxf95ovh,AFC,KUW,Premier League
AFC,1,0,2,7,4codzxzkhly139crzy3hrd7j5,AFC,LVA,Play-offs 1/2
AFC,1,0,2,7,eg6s9f1jj7jr6stmbosn0g6c8,AFC,MAS,Super League
AFC,1,0,2,7,1hyd16alue6dhe9mcm1hb4wzo,AFC,MLT,Super Cup
