
###
#  https://www.uefa.com/uefaeuropaleague/clubs/


## League phase

Athletic Club (ESP)
AZ Alkmaar (NED)
Eintracht Frankfurt (GER)
FC Porto (POR)
TSG 1899 Hoffenheim | Hoffenheim (GER)
S.S. Lazio | Lazio (ITA)
Olympique Lyonnais | Lyon (FRA)
Manchester United | Man United (ENG)
OGC Nice | Nice (FRA)
Olympiacos FC | Olympiacos (GRE)
Real Sociedad de Fútbol | Real Sociedad (ESP)
AS Roma | Roma (ITA)
Tottenham Hotspur FC | Tottenham (ENG)

## Play-offs
RSC Anderlecht | Anderlecht (BEL)
Beşiktaş JK | Beşiktaş (TUR)
Heart of Midlothian FC | Hearts (SCO)
LASK (AUT)
FK TSC | TSC (SRB)

## Third qualifying round
AFC Ajax | Ajax (NED)
FK Borac Banja Luka | Borac (BIH)
SC Braga | Braga (POR)
NK Celje | Celje (SVN)
Cercle Brugge KSV | Cercle Brugge (BEL)
FC Dinamo Minsk | Dinamo Minsk (BLR)
IF Elfsborg | Elfsborg (SWE)
KÍ Klaksvík (FRO)
FC Kryvbas Kryvyi Rih | Kryvbas (UKR)
Lincoln Red Imps FC | Lincoln Red Imps (GIB)
FC Lugano | Lugano (SUI)
Maccabi Tel Aviv FC | Maccabi Tel Aviv (ISR)
Molde FK | Molde (NOR)
Panathinaikos FC | Panathinaikos (GRE)
FK Panevėžys | Panevėžys (LTU)
FK Partizan | Partizan (SRB)
FC Petrocub-Hincesti | Petrocub (MDA)
SK Rapid Wien | Rapid Wien (AUT)
FC RFS | RFS (LVA)
HNK Rijeka | Rijeka (CRO)
Servette FC | Servette (SUI)
Shamrock Rovers FC | Shamrock Rovers (IRL)
The New Saints FC | The New Saints (WAL)
Trabzonspor (TUR)
UE Santa Coloma (AND)
FC Viktoria Plzeň | Viktoria Plzeň (CZE)


# Second qualifying round
PFC Botev Plovdiv | Botev Plovdiv (BUL)
FC Corvinul Hunedoara | Corvinul (ROU)
Kilmarnock FC | Kilmarnock (SCO)
Maccabi Petah Tikva FC | M. Petah Tikva (ISR)
MFK Ružomberok | Ružomberok (SVK)
FC Sheriff Tiraspol | Sheriff (MDA)
Silkeborg IF | Silkeborg (DEN)
FK Vojvodina | Vojvodina (SRB)
Wisła Kraków (POL)

## First qualifying round
KF Llapi | Llapi (KOS)
NK Maribor | Maribor (SVN)
Pafos FC | Pafos (CYP)
Paksi FC | Paks (HUN)
FC Tobol Kostanay | Tobol (KAZ)
FK Zirä  | Zirä  (AZE)

