# Bulgarian A League 2024/25 - 16 club(s)

names, code
CSKA 1948, BUL
PFC Cherno More | Cherno More, BUL
PFC Slavia Sofia | Slavia Sofia, BUL
FK Krumovgrad, ???
PFC Arda Kardzhali | Arda, BUL
PFC Lokomotiv Plovdiv | Lokomotiv Plovdiv, BUL
PFC Levski Sofia | Levski, BUL
FC Lokomotiv Sofia | Lokomotiv Sofia, BUL
PFC Botev Plovdiv | Botev Plovdiv, BUL
POFC Botev Vratsa | Botev Vratsa, BUL
PFC CSKA-Sofia | CSKA-Sofia, BUL
PFC Ludogorets 1945 | Ludogorets, BUL
Spartak Varna, BUL
FC Hebar Pazardzhik | Hebar, BUL
PFC Beroe Stara Zagora | Beroe, BUL
FC Septemvri Sofia | Septemvri, BUL
