# Belarusian Premier League 2024 - 16 club(s)

names, code
FC Dinamo Brest | Dinamo Brest, BLR
FC Isloch | Isloch, BLR
FC Dnepr Mogilev | Dnepr, BLR
FC Slavia-Mozyr | Slavia-Mozyr, BLR
FC BATE Borisov | BATE Borisov, BLR
FC Minsk | Minsk, BLR
FC Naftan Novopolotsk | Naftan, BLR
FC Neman Grodno | Neman, BLR
FC Smorgon | Smorgon, BLR
FC Dinamo Minsk | Dinamo Minsk, BLR
FC Torpedo, BLR
FC Arsenal Dzerzhinsk  | Arsenal Dzerzhinsk, BLR
FC Gomel | Gomel, BLR
SFC Slutsk | Slutsk, BLR
FC Vitebsk | Vitebsk, BLR
FC Shakhtyor Soligorsk | Shakhtyor, BLR
