# Czech First League 2024/25 - 16 club(s)

names, code
FK Pardubice | Pardubice, CZE
AC Sparta Praha | Sparta Praha, CZE
FK Mladá Boleslav | Mladá Boleslav, CZE
FK Jablonec | Jablonec, CZE
SK Sigma Olomouc | Olomouc, CZE
SK Dynamo České Budějovice | České Budějovice, CZE
FC Baník Ostrava | Baník, CZE
Bohemians Praha, CZE
FC Viktoria Plzeň | Viktoria Plzeň, CZE
FK Dukla Praha | Dukla, CZE
FC Slovan Liberec | Liberec, CZE
MFK Karviná | Karviná, CZE
SK Slavia Praha | Slavia Praha, CZE
1. FC Slovácko | Slovácko, CZE
FK Teplice | Teplice, CZE
FC Hradec Králové | Hradec Králové, CZE
