# German Bundesliga 2024/25 - 18 club(s)

names, code
Bayer 04 Leverkusen | Leverkusen, GER
Borussia Mönchengladbach | Mönchengladbach, GER
VfL Bochum 1848 | Bochum, GER
RB Leipzig | Leipzig, GER
Holstein Kiel | Kiel, GER
TSG 1899 Hoffenheim | Hoffenheim, GER
VfB Stuttgart | Stuttgart, GER
SC Freiburg | Freiburg, GER
SV Werder Bremen | Bremen, GER
FC Augsburg | Augsburg, GER
1. FC Union Berlin | Union Berlin, GER
1. FSV Mainz 05 | Mainz, GER
Eintracht Frankfurt, GER
Borussia Dortmund | Dortmund, GER
FC Bayern München | Bayern, GER
VfL Wolfsburg | Wolfsburg, GER
1. FC Heidenheim 1846 | Heidenheim, GER
FC St Pauli | St Pauli, GER
