# Spanish Liga 2024/25 - 20 club(s)

names, code
Getafe CF | Getafe, ESP
Athletic Club, ESP
Girona FC | Girona, ESP
Real Betis Balompié | Real Betis, ESP
Deportivo Alavés | Alavés, ESP
RC Celta de Vigo | Celta, ESP
Sevilla FC | Sevilla, ESP
UD Las Palmas | Las Palmas, ESP
CD Leganés | Leganés, ESP
CA Osasuna | Osasuna, ESP
FC Barcelona | Barcelona, ESP
Valencia CF | Valencia, ESP
Rayo Vallecano de Madrid | Rayo Vallecano, ESP
Real Sociedad de Fútbol | Real Sociedad, ESP
Real Madrid CF | Real Madrid, ESP
RCD Mallorca | Mallorca, ESP
RCD Espanyol | Espanyol, ESP
Real Valladolid CF | Valladolid, ESP
Club Atlético de Madrid | Atlético de Madrid, ESP
Villarreal CF | Villarreal, ESP
