# French Ligue 1 2024/25 - 18 club(s)

names, code
Paris Saint-Germain | Paris, FRA
Le Havre AC | Le Havre, FRA
Olympique de Marseille | Marseille, FRA
Stade Brestois 29 | Brest, FRA
LOSC Lille | Lille, FRA
Stade de Reims | Reims, FRA
AS Saint-Étienne | St-Étienne, FRA
AS Monaco FC | Monaco, FRA
OGC Nice | Nice, FRA
AJ Auxerre | Auxerre, FRA
Racing Strasbourg | Strasbourg, FRA
Montpellier Hérault SC | Montpellier, FRA
FC Nantes | Nantes, FRA
Toulouse FC | Toulouse, FRA
RC Lens | Lens, FRA
Angers SCO | Angers, FRA
Olympique Lyonnais | Lyon, FRA
Stade Rennais FC | Rennes, FRA
