# Italian Serie A 2024/25 - 20 club(s)

names, code
FC Internazionale Milano | Inter, ITA
Genoa CFC | Genoa, ITA
ACF Fiorentina | Fiorentina, ITA
Parma FC | Parma, ITA
AC Monza | Monza, ITA
Empoli FC | Empoli, ITA
Torino FC | Torino, ITA
AC Milan | Milan, ITA
Udinese Calcio | Udinese, ITA
Bologna FC | Bologna, ITA
SSC Napoli | Napoli, ITA
Hellas Verona FC | Verona, ITA
AS Roma | Roma, ITA
Cagliari Calcio | Cagliari, ITA
AC Venezia | Venezia, ITA
S.S. Lazio | Lazio, ITA
Atalanta BC | Atalanta, ITA
US Lecce | Lecce, ITA
Como Calcio | Como, ITA
Juventus, ITA
