# Dutch First Division 2024/25 - 18 club(s)

names, code
NAC Breda | NAC, NED
FC Groningen | Groningen, NED
Willem II, NED
Feyenoord, NED
FC Twente | Twente, NED
NEC Nijmegen | NEC, NED
AZ Alkmaar, NED
Almere City FC | Almere City, NED
RKC Waalwijk | RKC, NED
PSV Eindhoven | PSV, NED
Heracles Almelo | Heracles, NED
Sparta Rotterdam, NED
PEC Zwolle | Zwolle, NED
FC Utrecht | Utrecht, NED
Fortuna Sittard, NED
Go Ahead Eagles, NED
sc Heerenveen | Heerenveen, NED
AFC Ajax | Ajax, NED
