# Norwegian Premier Division 2024 - 16 club(s)

names, code
FK Haugesund | Haugesund, NOR
Odds BK | Odd, NOR
FK Bodø/Glimt | Bodø/Glimt, NOR
Fredrikstad FK | Fredrikstad, NOR
Strømsgodset IF | Strømsgodset, NOR
Molde FK | Molde, NOR
SK Brann | Brann, NOR
Tromsø IL | Tromsø, NOR
Kristiansund BK | Kristiansund, NOR
Lillestrøm SK | Lillestrøm, NOR
Sandefjord Fotball | Sandefjord, NOR
Rosenborg BK | Rosenborg, NOR
Sarpsborg 08 FF | Sarpsborg, NOR
Viking FK | Viking, NOR
HamKam Fotball | HamKam, NOR
KFUM-Kameratene Oslo | KFUM, NOR
