# Portuguese First Division 2024/25 - 18 club(s)

names, code
Rio Ave FC | Rio Ave, POR
Sporting Clube de Portugal | Sporting CP, POR
CD Nacional | Nacional, POR
AVS Futebol, ???
Boavista FC | Boavista, POR
Casa Pia AC | Casa Pia, POR
Gil Vicente FC | Gil Vicente, POR
FC Porto, POR
CD Santa Clara | Santa Clara, POR
Estoril Praia | Estoril, POR
SL Benfica | Benfica, POR
FC Famalicao | Famalicao, POR
Moreirense FC | Moreirense, POR
SC Farense | Farense, POR
Club Foot Estrela, ???
SC Braga | Braga, POR
Vitória SC, POR
FC Arouca | Arouca, POR
