# Romanian First Division 2024/25 - 16 club(s)

names, code
Unirea Slobozia, ROU
FCV Farul Constanţa, ???
Universitatea Craiova | U Craiova, ROU
FC Hermannstadt | Hermannstadt, ROU
FC Politehnica Iaşi | Poli Iaşi, ROU
Sepsi OSK | Sepsi, ROU
FC Rapid Bucureşti | Rapid Bucureşti, ROU
UTA Arad | UTA, ROU
FC Universitatea Cluj | U Cluj, ROU
FCSB, ROU
FC Dinamo Bucureşti | Dinamo Bucureşti, ROU
CFR 1907 Cluj | CFR Cluj, ROU
SC Oţelul Galaţi | Oţelul, ROU
FC Botoşani | Botoşani, ROU
AS FC Buzău, ???
Petrolul 52, ROU
