# Swedish First Division 2024 - 16 club(s)

names, code
Malmö FF | Malmö, SWE
IFK Norrköping FK | Norrköping, SWE
Kalmar FF | Kalmar, SWE
Hammarby Fotboll | Hammarby, SWE
IF Brommapojkarna | Brommapojkarna, SWE
GAIS Göteborg | GAIS, SWE
Mjällby AIF | Mjällby, SWE
BK Häcken | Häcken, SWE
Djurgårdens IF | Djurgården, SWE
IFK Göteborg | Göteborg, SWE
Halmstads BK | Halmstad, SWE
IK Sirius | Sirius, SWE
Västerås SK | Västerås, SWE
AIK, SWE
Värnamo, SWE
IF Elfsborg | Elfsborg, SWE
