# San Marinese Championship 2023/24 - 16 club(s)

names, code
FC Fiorentino | Fiorentino, SMR
SS Pennarossa | Pennarossa, SMR
FC Domagnano | Domagnano, SMR
SS Cosmos | Cosmos, SMR
SP Tre Penne | Tre Penne, SMR
AC Juvenes/Dogana | Juvenes/Dogana, SMR
Virtus AC | Virtus, SMR
SP Tre Fiori | Tre Fiori, SMR
SC Faetano | Faetano, SMR
SS Murata | Murata, SMR
SS Folgore | Folgore, SMR
SP Cailungo | Cailungo, SMR
San Marino Academy, ???
AS San Giovanni | San Giovanni, SMR
AC Libertas | Libertas, SMR
La Fiorita 1967 | La Fiorita, SMR
