# Ukrainian Premier League 2024/25 - 16 club(s)

names, code
FC Dynamo Kyiv | Dynamo Kyiv, UKR
FC Olexandriya | Olexandriya, UKR
Polissya Zhytomyr, ???
Rukh Vynnyky, UKR
FC Karpaty Lviv | Karpaty, UKR
NK Veres Rivne | Veres, UKR
FC Chornomorets Odesa | Chornomorets Odesa, UKR
Hirnyk, UKR
FK Livyi Bereh, ???
LNZ Cherkasy FC, ???
FC Shakhtar Donetsk | Shakhtar Donetsk, UKR
FC Vorskla Poltava | Vorskla Poltava, UKR
FC Kolos Kovalivka | Kolos Kovalivka, UKR
Obolon-Brovar, UKR
Inhulets Petrove, UKR
FC Zorya Luhansk | Zorya Luhansk, UKR
