league, seasons

br.1,   2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
# 2020 2021 2022 2023 2024

br.2,   2011 2012 2013 2014 2015 2016 2017 2018 2019
#          2020 2021 2022 2023 2024

br.3,  2020 2021 2022 2023 2024
br.4,  2020 2021 2022 2023 2024


br.cup,   2016 2017 2018 2019 2020 2021 2022 2023 2024


br.carioca,     2018 2019 2020 2021 2022 2023 2024

br.gauchao,    2019 2020 2021 2022 2023 2024

br.mineiro,    2019 2020 2021 2022 2023 2024

br.paranaense,    2021 2022 2023 2024


br.paulistao,  2018 2019 2020 2021 2022 2023 2024
