league, seasons


# eng.1,  2000/01 2001/02 2002/03 2003/04 2004/05 2005/06 2006/07 2007/08 2008/09 2009/10 2010/11 2011/12 2012/13 2013/14 2014/15 2015/16
# eng.2,  2000/01 2001/02 2002/03 2003/04 2004/05 2005/06 2006/07 2007/08 2008/09 2009/10 2010/11 2011/12 2012/13 2013/14 2014/15 2015/16
# eng.3,  2000/01 2001/02 2002/03 2003/04 2004/05 2005/06 2006/07 2007/08 2008/09 2009/10 2010/11 2011/12 2012/13 2013/14 2014/15 2015/16
# eng.4,  2000/01 2001/02 2002/03 2003/04 2004/05 2005/06 2006/07 2007/08 2008/09 2009/10 2010/11 2011/12 2012/13 2013/14 2014/15 2015/16

# eng.1,    2015/16 2016/17 2017/18 2018/19
# eng.2,    2015/16 2016/17 2017/18 2018/19
# eng.3,    2015/16 2016/17 2017/18 2018/19
# eng.4,    2015/16 2016/17 2017/18 2018/19
# eng.5,    2015/16 2016/17 2017/18 2018/19

# eng.1,   2019/20 2020/21 2021/22 2022/23  2023/24
# eng.2,   2019/20 2020/21 2021/22 2022/23  2023/24
# eng.3,   2019/20 2020/21 2021/22 2022/23  2023/24
# eng.4,   2019/20 2020/21 2021/22 2022/23  2023/24
# eng.5,   2019/20 2020/21 2021/22 2022/23  2023/24
