league, seasons

be.1,     2023/24 2024/25
hr.1,     2023/24 2024/25
cz.1,     2023/24 2024/25
dk.1,     2023/24 2024/25
fi.1,     2023 2024

# fr.1
# nl.1
# pt.1


gr.1,       2023/24 2024/25
hu.1,       2023/24 2024/25
is.1,       2023 2024
ie.1,       2023 2024
lu.1,       2023/24 2024/25

no.1,       2023 2024
pl.1,       2023/24 2024/25
ro.1,       2023/24 2024/25
ru.1,       2023/24 2024/25
sco.1,      2023/24 2024/25

sk.1,       2023/24 2024/25

se.1,       2023 2024
ch.1,       2023/24 2024/25

tr.1,       2023/24 2024/25
ua.1,       2023/24 2024/25


