league, seasons

de.1,        2024/25
de.2,        2024/25
de.3,        2024/25
de.4.n,      2024/25
de.4.no,     2024/25
de.4.w,      2024/25
de.4.sw,     2024/25
de.4.bayern, 2024/25
de.cup,      2024/25

at.1,        2024/25
at.2,        2024/25
at.3.o,      2024/25
at.cup,      2024/25

ch.1,        2024/25
ch.2,        2024/25
ch.cup,      2024/25


eng.1,       2024/25
fr.1,        2024/25

es.1,        2024/25
es.2,        2024/25
es.cup,      2024/25


it.1,        2024/25
it.2,        2024/25
it.cup,      2024/25


tr.1,        2024/25
gr.1,        2024/25
