league, seasons


eng.1,       2020/21 2021/22 2022/23 2023/24
eng.2,       2020/21 2021/22 2022/23 2023/24
es.1,        2020/21 2021/22 2022/23 2023/24
fr.1,        2020/21 2021/22 2022/23 2023/24
it.1,        2020/21 2021/22 2022/23 2023/24
de.1,        2020/21 2021/22 2022/23 2023/24

nl.1,        2020/21 2021/22 2022/23 2023/24
pt.1,        2020/21 2021/22 2022/23 2023/24

uefa.cl,     2020/21 2021/22 2022/23 2023/24


br.1,        2020 2021 2022 2023
copa.l,           2021 2022 2023


euro,        2021 2024
world,       2022


