matches,teams,rounds,date_first,date_last,title,slug
378,28,27,2024-05-11,2024-12-15,Primera División 2024,arg-primera-division-2024
378,28,27,2023-01-27,2023-07-31,Primera División 2023,arg-primera-division-2023
378,28,27,2022-06-04,2022-10-26,Primera División 2022,arg-primera-division-2022
325,26,25,2021-07-17,2021-12-14,Primera División 2021,arg-primera-division-2021
31,12,3,2020-12-12,2021-01-17,Primera División 2020 Fase Complementación,arg-primera-division-2020-fase-complementacion
31,12,3,2020-12-12,2021-01-18,Primera División 2020 Fase Campeón,arg-primera-division-2020-fase-campeon
1,2,1,2021-04-01,2021-04-01,Primera División 2020 Copa Sud,arg-primera-division-2020-copa-sud
72,24,6,2020-10-30,2020-12-07,Primera División 2020,arg-primera-division-2020
276,24,23,2019-07-27,2020-03-10,Primera División 2019/2020,arg-primera-division-2019-2020
325,26,25,2018-08-11,2019-04-07,Primera División 2018/2019,arg-primera-division-2018-2019
378,28,27,2017-08-26,2018-05-15,Primera División 2017/2018,arg-primera-division-2017-2018
450,30,30,2016-08-27,2017-06-28,Primera División 2016/2017,arg-primera-division-2016-2017
1,2,1,2016-05-29,2016-05-29,Primera División 2016 Meisterschaftsfinale,arg-primera-division-2016-meisterschaftsfinale
1,2,1,2016-05-28,2016-05-28,Primera División 2016 Libertadores Playoff,arg-primera-division-2016-libertadores-playoff
240,30,16,2016-02-05,2016-05-24,Primera División 2016,arg-primera-division-2016
14,14,2,2015-11-19,2015-12-07,Primera División 2015 Sudamericana Playoff,arg-primera-division-2015-sudamericana-playoff
4,4,2,2015-11-20,2015-12-06,Primera División 2015 Libertadores Playoff,arg-primera-division-2015-libertadores-playoff
450,30,30,2015-02-13,2015-11-10,Primera División 2015,arg-primera-division-2015
190,20,19,2014-08-08,2014-12-15,Primera División 2014/2015 Torneo Inicial,arg-primera-division-2014-2015-torneo-inicial
1,2,1,2015-01-29,2015-01-29,Primera División 2014 Entscheidung Copa Lib,arg-primera-division-2014-entscheidung-copa-lib
190,20,19,2013-08-02,2013-12-15,Primera División 2013/2014 Torneo Inicial,arg-primera-division-2013-2014-torneo-inicial
190,20,19,2014-02-07,2014-05-20,Primera División 2013/2014 Torneo Final,arg-primera-division-2013-2014-torneo-final
1,2,1,2014-05-25,2014-05-25,Primera División 2013/2014 Meisterschaftsfinale,arg-primera-division-2013-2014-meisterschaftsfinale
190,20,19,2012-08-04,2013-02-13,Primera División 2012/2013 Torneo Inicial,arg-primera-division-2012-2013-torneo-inicial
190,20,19,2013-02-08,2013-06-24,Primera División 2012/2013 Torneo Final,arg-primera-division-2012-2013-torneo-final
1,2,1,2013-06-29,2013-06-29,Primera División 2012/2013 Meisterschaftsfinale,arg-primera-division-2012-2013-meisterschaftsfinale
190,20,19,2012-02-11,2012-06-24,Primera División 2011/2012 Clausura,arg-primera-division-2011-2012-clausura
190,20,19,2011-08-06,2012-02-04,Primera División 2011/2012 Apertura,arg-primera-division-2011-2012-apertura
190,20,19,2011-02-11,2011-06-20,Primera División 2010/2011 Clausura,arg-primera-division-2010-2011-clausura
190,20,19,2010-08-07,2011-02-06,Primera División 2010/2011 Apertura,arg-primera-division-2010-2011-apertura
190,20,19,2010-01-29,2010-05-16,Primera División 2009/2010 Clausura,arg-primera-division-2009-2010-clausura
190,20,19,2009-08-22,2009-12-15,Primera División 2009/2010 Apertura,arg-primera-division-2009-2010-apertura
190,20,19,2009-02-06,2009-07-05,Primera División 2008/2009 Clausura,arg-primera-division-2008-2009-clausura
3,3,1,2008-12-17,2008-12-23,Primera División 2008/2009 Apertura Playoffs,arg-primera-division-2008-2009-apertura-playoffs
190,20,19,2008-08-09,2008-12-14,Primera División 2008/2009 Apertura,arg-primera-division-2008-2009-apertura
190,20,19,2008-02-08,2008-06-22,Primera División 2007/2008 Clausura,arg-primera-division-2007-2008-clausura
190,20,19,2007-08-04,2008-04-24,Primera División 2007/2008 Apertura,arg-primera-division-2007-2008-apertura
190,20,19,2007-02-09,2007-06-17,Primera División 2006/2007 Clausura,arg-primera-division-2006-2007-clausura
1,2,1,2006-12-13,2006-12-13,Primera División 2006/2007 Apertura Finale,arg-primera-division-2006-2007-apertura-finale
190,20,19,2006-08-05,2007-02-22,Primera División 2006/2007 Apertura,arg-primera-division-2006-2007-apertura
190,20,19,2006-01-27,2006-05-15,Primera División 2005/2006 Clausura,arg-primera-division-2005-2006-clausura
190,20,19,2005-08-06,2005-12-15,Primera División 2005/2006 Apertura,arg-primera-division-2005-2006-apertura
190,20,19,2005-02-11,2005-07-03,Primera División 2004/2005 Clausura,arg-primera-division-2004-2005-clausura
190,20,19,2004-08-14,2004-12-12,Primera División 2004/2005 Apertura,arg-primera-division-2004-2005-apertura
190,20,19,2004-02-14,2004-06-27,Primera División 2003/2004 Clausura,arg-primera-division-2003-2004-clausura
190,20,19,2003-08-03,2004-06-03,Primera División 2003/2004 Apertura,arg-primera-division-2003-2004-apertura
190,20,19,2003-02-16,2003-07-06,Primera División 2002/2003 Clausura,arg-primera-division-2002-2003-clausura
190,20,19,2002-07-28,2002-12-01,Primera División 2002/2003 Apertura,arg-primera-division-2002-2003-apertura
190,20,19,2002-02-10,2002-05-19,Primera División 2001/2002 Clausura,arg-primera-division-2001-2002-clausura
190,20,19,2001-08-17,2002-02-05,Primera División 2001/2002 Apertura,arg-primera-division-2001-2002-apertura
