matches,teams,rounds,date_first,date_last,title,slug
240,16,30,2024-08-02,2025-05-25,2. Liga 2024/2025,aut-2-liga-2024-2025
240,16,30,2023-07-28,2024-05-25,2. Liga 2023/2024,aut-2-liga-2023-2024
240,16,30,2022-07-22,2023-06-04,2. Liga 2022/2023,aut-2-liga-2022-2023
240,16,30,2021-07-23,2022-05-22,2. Liga 2021/2022,aut-2-liga-2021-2022
240,16,30,2020-09-11,2021-05-23,2. Liga 2020/2021,aut-2-liga-2020-2021
240,16,30,2019-07-26,2020-07-31,2. Liga 2019/2020,aut-2-liga-2019-2020
240,16,30,2018-07-27,2019-06-01,2. Liga 2018/2019,aut-erste-liga-2018-2019
180,10,36,2017-07-21,2018-05-25,2. Liga 2017/2018,aut-erste-liga-2017-2018
180,10,36,2016-07-22,2017-05-26,2. Liga 2016/2017,aut-erste-liga-2016-2017
180,10,36,2015-07-24,2016-05-25,2. Liga 2015/2016,aut-erste-liga-2015-2016
180,10,36,2014-07-18,2015-05-29,2. Liga 2014/2015,aut-erste-liga-2014-2015
180,10,36,2013-07-19,2014-05-23,2. Liga 2013/2014,aut-erste-liga-2013-2014
180,10,36,2012-07-20,2013-05-24,2. Liga 2012/2013,aut-erste-liga-2012-2013
180,10,36,2011-07-11,2012-05-18,2. Liga 2011/2012,aut-erste-liga-2011-2012
180,10,36,2010-07-12,2011-05-24,2. Liga 2010/2011,aut-erste-liga-2010-2011
198,12,33,2009-07-14,2010-05-28,2. Liga 2009/2010,aut-erste-liga-2009-2010
198,13,33,2008-07-11,2009-05-29,2. Liga 2008/2009,aut-erste-liga-2008-2009
198,12,33,2007-07-31,2008-05-16,2. Liga 2007/2008,aut-erste-liga-2007-2008
198,12,33,2006-08-01,2007-05-25,2. Liga 2006/2007,aut-erste-liga-2006-2007
180,11,36,2005-07-08,2006-05-26,2. Liga 2005/2006,aut-erste-liga-2005-2006
180,10,36,2004-07-23,2005-05-27,2. Liga 2004/2005,aut-erste-liga-2004-2005
180,10,36,2003-07-15,2004-05-21,2. Liga 2003/2004,aut-erste-liga-2003-2004
180,10,36,2002-07-09,2003-05-30,2. Liga 2002/2003,aut-erste-liga-2002-2003
180,10,36,2001-07-10,2002-05-29,2. Liga 2001/2002,aut-erste-liga-2001-2002
180,10,36,2000-07-04,2001-05-25,2. Liga 2000/2001,aut-erste-liga-2000-2001
180,10,36,1999-07-09,2000-05-27,2. Liga 1999/2000,aut-erste-liga-1999-2000
180,10,36,1998-07-24,1999-06-09,2. Liga 1998/1999,aut-erste-liga-1998-1999
210,15,30,1997-07-18,1998-06-06,2. Liga 1997/1998,aut-erste-liga-1997-1998
240,16,30,1996-07-31,1997-06-03,2. Liga 1996/1997,aut-erste-liga-1996-1997
240,16,30,1995-08-04,1996-06-01,2. Liga 1995/1996,aut-erste-liga-1995-1996
240,16,30,1994-08-05,1995-06-17,2. Liga 1994/1995,aut-erste-liga-1994-1995
240,16,30,1993-08-06,1994-06-08,2. Liga 1993/1994,aut-erste-liga-1993-1994
56,8,14,1993-03-06,1993-06-12,2. Liga 1992/1993,aut-erste-liga-1992-1993
56,8,14,1992-03-06,1992-06-04,2. Liga 1991/1992,aut-erste-liga-1991-1992
56,8,14,1991-03-09,1991-06-09,2. Liga 1990/1991,aut-erste-liga-1990-1991
56,8,14,1990-03-16,1990-06-05,2. Liga 1989/1990,aut-erste-liga-1989-1990
56,8,14,1989-03-17,1989-06-10,2. Liga 1988/1989,aut-erste-liga-1988-1989
56,8,14,1988-03-11,1988-06-07,2. Liga 1987/1988,aut-erste-liga-1987-1988
56,8,14,1987-03-13,1987-06-27,2. Liga 1986/1987,aut-erste-liga-1986-1987
56,8,14,1986-03-01,1986-05-31,2. Liga 1985/1986,aut-erste-liga-1985-1986
24,16,3,1984-08-18,1984-09-01,2. Liga 1984/1985,aut-erste-liga-1984-1985
