matches,teams,rounds,date_first,date_last,title,slug
240,16,30,2024-08-02,2025-06-07,Regionalliga Ost 2024/2025,aut-regionalliga-ost-2024-2025
240,16,30,2023-07-28,2024-06-03,Regionalliga Ost 2023/2024,aut-regionalliga-ost-2023-2024
240,16,30,2022-07-29,2023-05-27,Regionalliga Ost 2022/2023,aut-regionalliga-ost-2022-2023
182,14,26,2021-07-30,2022-05-28,Regionalliga Ost 2021/2022,aut-regionalliga-ost-2021-2022
156,13,26,2020-08-21,2021-06-06,Regionalliga Ost 2020/2021,aut-regionalliga-ost-2020-2021
240,16,30,2019-08-02,2020-05-30,Regionalliga Ost 2019/2020,aut-regionalliga-ost-2019-2020
240,17,30,2018-08-03,2019-06-07,Regionalliga Ost 2018/2019,aut-regionalliga-ost-2018-2019
272,18,34,2017-08-04,2018-05-27,Regionalliga Ost 2017/2018,aut-regionalliga-ost-2017-2018
210,15,30,2016-08-05,2017-05-26,Regionalliga Ost 2016/2017,aut-regionalliga-ost-2016-2017
240,16,30,2015-07-31,2016-06-03,Regionalliga Ost 2015/2016,aut-regionalliga-ost-2015-2016
240,16,30,2014-08-01,2015-05-30,Regionalliga Ost 2014/2015,aut-regionalliga-ost-2014-2015
241,16,30,2013-08-02,2014-05-28,Regionalliga Ost 2013/2014,aut-regionalliga-ost-2013-2014
240,16,30,2012-08-03,2013-05-29,Regionalliga Ost 2012/2013,aut-regionalliga-ost-2012-2013
240,16,30,2011-08-05,2012-05-31,Regionalliga Ost 2011/2012,aut-regionalliga-ost-2011-2012
240,16,30,2010-08-13,2011-06-01,Regionalliga Ost 2010/2011,aut-regionalliga-ost-2010-2011
240,16,30,2009-08-07,2010-06-05,Regionalliga Ost 2009/2010,aut-regionalliga-ost-2009-2010
240,16,30,2008-08-01,2009-06-05,Regionalliga Ost 2008/2009,aut-regionalliga-ost-2008-2009
240,16,30,2007-08-04,2008-06-06,Regionalliga Ost 2007/2008,aut-regionalliga-ost-2007-2008
