matches,teams,rounds,date_first,date_last,title,slug
48,64,2,2024-07-26,2024-08-27,ÖFB-Cup 2024/2025,aut-oefb-cup-2024-2025
63,64,6,2023-07-20,2024-05-01,ÖFB-Cup 2023/2024,aut-oefb-cup-2023-2024
63,64,6,2022-07-15,2023-04-30,ÖFB-Cup 2022/2023,aut-oefb-cup-2022-2023
63,64,6,2021-07-16,2022-05-01,ÖFB-Cup 2021/2022,aut-oefb-cup-2021-2022
62,63,6,2020-08-28,2021-05-01,ÖFB-Cup 2020/2021,aut-oefb-cup-2020-2021
63,64,6,2019-07-19,2020-05-29,ÖFB-Cup 2019/2020,aut-oefb-cup-2019-2020
63,64,6,2018-07-20,2019-05-01,ÖFB-Cup 2018/2019,aut-oefb-cup-2018-2019
63,64,6,2017-07-14,2018-05-09,ÖFB-Cup 2017/2018,aut-oefb-cup-2017-2018
63,64,6,2016-07-08,2017-06-01,ÖFB-Cup 2016/2017,aut-oefb-cup-2016-2017
63,64,6,2015-07-17,2016-05-19,ÖFB-Cup 2015/2016,aut-oefb-cup-2015-2016
63,64,6,2014-07-11,2015-06-03,ÖFB-Cup 2014/2015,aut-oefb-cup-2014-2015
63,64,6,2013-07-12,2014-05-18,ÖFB-Cup 2013/2014,aut-oefb-cup-2013-2014
63,64,6,2012-07-12,2013-05-30,ÖFB-Cup 2012/2013,aut-oefb-cup-2012-2013
63,64,6,2011-08-05,2012-05-20,ÖFB-Cup 2011/2012,aut-oefb-cup-2011-2012
63,64,6,2010-08-12,2011-05-29,ÖFB-Cup 2010/2011,aut-oefb-cup-2010-2011
63,64,6,2009-08-14,2010-05-16,ÖFB-Cup 2009/2010,aut-oefb-cup-2009-2010
60,62,6,2008-08-14,2009-05-24,ÖFB-Cup 2008/2009,aut-oefb-cup-2008-2009
51,52,6,2006-09-12,2007-05-01,ÖFB-Cup 2006/2007,aut-oefb-cup-2006-2007
49,51,6,2005-09-13,2006-05-09,ÖFB-Cup 2005/2006,aut-oefb-cup-2005-2006
51,52,6,2004-09-14,2005-06-01,ÖFB-Cup 2004/2005,aut-oefb-cup-2004-2005
51,52,6,2003-08-26,2004-05-23,ÖFB-Cup 2003/2004,aut-oefb-cup-2003-2004
51,52,6,2002-08-27,2003-06-01,ÖFB-Cup 2002/2003,aut-oefb-cup-2002-2003
51,52,6,2001-08-21,2002-05-12,ÖFB-Cup 2001/2002,aut-oefb-cup-2001-2002
98,99,7,2000-08-01,2001-05-27,ÖFB-Cup 2000/2001,aut-oefb-cup-2000-2001
107,108,7,1999-07-30,2000-05-16,ÖFB-Cup 1999/2000,aut-oefb-cup-1999-2000
31,32,5,1998-09-04,1999-05-18,ÖFB-Cup 1998/1999,aut-oefb-cup-1998-1999
15,16,4,1997-10-31,1998-05-19,ÖFB-Cup 1997/1998,aut-oefb-cup-1997-1998
15,16,4,1996-11-01,1997-05-27,ÖFB-Cup 1996/1997,aut-oefb-cup-1996-1997
15,16,4,1995-10-24,1996-06-05,ÖFB-Cup 1995/1996,aut-oefb-cup-1995-1996
15,16,4,1995-04-14,1995-06-05,ÖFB-Cup 1994/1995,aut-oefb-cup-1994-1995
15,16,4,1994-04-01,1994-06-11,ÖFB-Cup 1993/1994,aut-oefb-cup-1993-1994
15,16,4,1993-04-30,1993-06-19,ÖFB-Cup 1992/1993,aut-oefb-cup-1992-1993
15,16,4,1992-03-27,1992-06-06,ÖFB-Cup 1991/1992,aut-oefb-cup-1991-1992
15,16,4,1991-04-09,1991-05-31,ÖFB-Cup 1990/1991,aut-oefb-cup-1990-1991
15,16,4,1990-04-03,1990-05-12,ÖFB-Cup 1989/1990,aut-oefb-cup-1989-1990
16,16,4,1989-04-04,1989-05-23,ÖFB-Cup 1988/1989,aut-oefb-cup-1988-1989
16,16,4,1988-04-19,1988-06-01,ÖFB-Cup 1987/1988,aut-oefb-cup-1987-1988
16,16,4,1987-04-17,1987-06-16,ÖFB-Cup 1986/1987,aut-oefb-cup-1986-1987
15,16,4,1985-09-24,1986-05-06,ÖFB-Cup 1985/1986,aut-oefb-cup-1985-1986
17,16,4,1985-03-02,1985-06-13,ÖFB-Cup 1984/1985,aut-oefb-cup-1984-1985
18,16,4,1984-03-02,1984-05-15,ÖFB-Cup 1983/1984,aut-oefb-cup-1983-1984
16,16,4,1983-03-11,1983-05-03,ÖFB-Cup 1982/1983,aut-oefb-cup-1982-1983
16,16,4,1981-09-01,1982-05-12,ÖFB-Cup 1981/1982,aut-oefb-cup-1981-1982
16,17,4,1980-09-02,1981-06-02,ÖFB-Cup 1980/1981,aut-oefb-cup-1980-1981
16,16,4,1979-10-31,1980-06-10,ÖFB-Cup 1979/1980,aut-oefb-cup-1979-1980
16,16,4,1978-10-24,1979-06-20,ÖFB-Cup 1978/1979,aut-oefb-cup-1978-1979
16,16,4,1977-12-18,1978-05-06,ÖFB-Cup 1977/1978,aut-oefb-cup-1977-1978
16,16,4,1977-05-01,1977-06-29,ÖFB-Cup 1976/1977,aut-oefb-cup-1976-1977
16,16,4,1976-02-21,1976-06-08,ÖFB-Cup 1975/1976,aut-oefb-cup-1975-1976
18,16,4,1974-10-12,1975-06-25,ÖFB-Cup 1974/1975,aut-oefb-cup-1974-1975
22,16,4,1973-11-24,1974-06-12,ÖFB-Cup 1973/1974,aut-oefb-cup-1973-1974
22,16,4,1972-11-01,1973-06-02,ÖFB-Cup 1972/1973,aut-oefb-cup-1972-1973
16,16,4,1971-10-26,1972-06-03,ÖFB-Cup 1971/1972,aut-oefb-cup-1971-1972
17,16,4,1970-09-26,1971-06-09,ÖFB-Cup 1970/1971,aut-oefb-cup-1970-1971
16,16,4,1969-09-17,1970-05-28,ÖFB-Cup 1969/1970,aut-oefb-cup-1969-1970
15,16,4,1968-10-29,1969-06-03,ÖFB-Cup 1968/1969,aut-oefb-cup-1968-1969
16,16,4,1967-09-23,1968-05-23,ÖFB-Cup 1967/1968,aut-oefb-cup-1967-1968
17,16,4,1966-09-18,1967-07-05,ÖFB-Cup 1966/1967,aut-oefb-cup-1966-1967
15,16,4,1965-09-14,1966-06-08,ÖFB-Cup 1965/1966,aut-oefb-cup-1965-1966
19,16,4,1964-10-10,1965-06-26,ÖFB-Cup 1964/1965,aut-oefb-cup-1964-1965
17,16,4,1964-02-15,1964-07-01,ÖFB-Cup 1963/1964,aut-oefb-cup-1963-1964
15,16,4,1963-02-16,1963-06-19,ÖFB-Cup 1962/1963,aut-oefb-cup-1962-1963
15,16,4,1962-02-24,1962-05-30,ÖFB-Cup 1961/1962,aut-oefb-cup-1961-1962
16,16,4,1961-02-18,1961-06-22,ÖFB-Cup 1960/1961,aut-oefb-cup-1960-1961
17,16,4,1960-05-03,1960-06-25,ÖFB-Cup 1959/1960,aut-oefb-cup-1959-1960
15,16,4,1959-05-07,1959-06-24,ÖFB-Cup 1958/1959,aut-oefb-cup-1958-1959
10,10,4,1949-01-23,1949-07-03,ÖFB-Cup 1948/1949,aut-oefb-cup-1948-1949
10,10,4,1948-03-21,1948-07-04,ÖFB-Cup 1947/1948,aut-oefb-cup-1947-1948
15,16,4,1947-02-09,1947-06-29,ÖFB-Cup 1946/1947,aut-oefb-cup-1946-1947
17,16,4,1946-03-09,1946-06-20,ÖFB-Cup 1945/1946,aut-oefb-cup-1945-1946
7,8,3,1938-04-30,1938-05-26,ÖFB-Cup 1937/1938,aut-oefb-cup-1937-1938
8,8,3,1937-04-10,1937-05-27,ÖFB-Cup 1936/1937,aut-oefb-cup-1936-1937
7,8,3,1936-04-18,1936-05-21,ÖFB-Cup 1935/1936,aut-oefb-cup-1935-1936
1,2,1,1935-05-30,1935-05-30,ÖFB-Cup 1934/1935,aut-oefb-cup-1934-1935
7,8,3,1934-03-07,1934-05-10,ÖFB-Cup 1933/1934,aut-oefb-cup-1933-1934
10,9,4,1933-02-19,1933-05-25,ÖFB-Cup 1932/1933,aut-oefb-cup-1932-1933
8,8,3,1932-04-16,1932-05-26,ÖFB-Cup 1931/1932,aut-oefb-cup-1931-1932
45,10,9,1930-11-22,1931-05-28,ÖFB-Cup 1930/1931,aut-oefb-cup-1930-1931
9,8,3,1930-03-15,1930-05-10,ÖFB-Cup 1929/1930,aut-oefb-cup-1929-1930
1,2,1,1929-05-30,1929-05-30,ÖFB-Cup 1928/1929,aut-oefb-cup-1928-1929
7,8,3,1928-03-24,1928-05-19,ÖFB-Cup 1927/1928,aut-oefb-cup-1927-1928
8,8,3,1927-03-26,1927-05-28,ÖFB-Cup 1926/1927,aut-oefb-cup-1926-1927
8,8,3,1926-03-20,1926-05-15,ÖFB-Cup 1925/1926,aut-oefb-cup-1925-1926
7,8,3,1925-09-12,1925-11-08,ÖFB-Cup 1924/1925,aut-oefb-cup-1924-1925
7,8,3,1924-05-24,1924-07-06,ÖFB-Cup 1923/1924,aut-oefb-cup-1923-1924
