season,slug
2024,arg-primera-division-2024
2023,arg-primera-division-2023
2022,arg-primera-division-2022
2021,arg-primera-division-2021
2020 Fase Complementación,arg-primera-division-2020-fase-complementacion
2020 Fase Campeón,arg-primera-division-2020-fase-campeon
2020 Copa Sud,arg-primera-division-2020-copa-sud
2020,arg-primera-division-2020
2019/2020,arg-primera-division-2019-2020
2018/2019,arg-primera-division-2018-2019
2017/2018,arg-primera-division-2017-2018
2016/2017,arg-primera-division-2016-2017
2016 Meisterschaftsfinale,arg-primera-division-2016-meisterschaftsfinale
2016 Libertadores Playoff,arg-primera-division-2016-libertadores-playoff
2016,arg-primera-division-2016
2015 Sudamericana Playoff,arg-primera-division-2015-sudamericana-playoff
2015 Libertadores Playoff,arg-primera-division-2015-libertadores-playoff
2015,arg-primera-division-2015
2014/2015 Torneo Inicial,arg-primera-division-2014-2015-torneo-inicial
2014 Entscheidung Copa Lib,arg-primera-division-2014-entscheidung-copa-lib
2013/2014 Torneo Inicial,arg-primera-division-2013-2014-torneo-inicial
2013/2014 Torneo Final,arg-primera-division-2013-2014-torneo-final
2013/2014 Meisterschaftsfinale,arg-primera-division-2013-2014-meisterschaftsfinale
2012/2013 Torneo Inicial,arg-primera-division-2012-2013-torneo-inicial
2012/2013 Torneo Final,arg-primera-division-2012-2013-torneo-final
2012/2013 Meisterschaftsfinale,arg-primera-division-2012-2013-meisterschaftsfinale
2011/2012 Clausura,arg-primera-division-2011-2012-clausura
2011/2012 Apertura,arg-primera-division-2011-2012-apertura
2010/2011 Clausura,arg-primera-division-2010-2011-clausura
2010/2011 Apertura,arg-primera-division-2010-2011-apertura
2009/2010 Clausura,arg-primera-division-2009-2010-clausura
2009/2010 Apertura,arg-primera-division-2009-2010-apertura
2008/2009 Clausura,arg-primera-division-2008-2009-clausura
2008/2009 Apertura Playoffs,arg-primera-division-2008-2009-apertura-playoffs
2008/2009 Apertura,arg-primera-division-2008-2009-apertura
2007/2008 Clausura,arg-primera-division-2007-2008-clausura
2007/2008 Apertura,arg-primera-division-2007-2008-apertura
2006/2007 Clausura,arg-primera-division-2006-2007-clausura
2006/2007 Apertura Finale,arg-primera-division-2006-2007-apertura-finale
2006/2007 Apertura,arg-primera-division-2006-2007-apertura
2005/2006 Clausura,arg-primera-division-2005-2006-clausura
2005/2006 Apertura,arg-primera-division-2005-2006-apertura
2004/2005 Clausura,arg-primera-division-2004-2005-clausura
2004/2005 Apertura,arg-primera-division-2004-2005-apertura
2003/2004 Clausura,arg-primera-division-2003-2004-clausura
2003/2004 Apertura,arg-primera-division-2003-2004-apertura
2002/2003 Clausura,arg-primera-division-2002-2003-clausura
2002/2003 Apertura,arg-primera-division-2002-2003-apertura
2001/2002 Clausura,arg-primera-division-2001-2002-clausura
2001/2002 Apertura,arg-primera-division-2001-2002-apertura
2000/2001 Clausura,arg-primera-division-2000-2001-clausura
2000/2001 Apertura,arg-primera-division-2000-2001-apertura
1999/2000 Clausura,arg-primera-division-1999-2000-clausura
1999/2000 Apertura,arg-primera-division-1999-2000-apertura
1998/1999 Clausura,arg-primera-division-1998-1999-clausura
1998/1999 Apertura,arg-primera-division-1998-1999-apertura
1997/1998 Clausura,arg-primera-division-1997-1998-clausura
1997/1998 Apertura,arg-primera-division-1997-1998-apertura
1996/1997 Clausura,arg-primera-division-1996-1997-clausura
1996/1997 Apertura,arg-primera-division-1996-1997-apertura
1995/1996 Clausura,arg-primera-division-1995-1996-clausura
1995/1996 Apertura,arg-primera-division-1995-1996-apertura
1994/1995 Clausura,arg-primera-division-1994-1995-clausura
1994/1995 Apertura,arg-primera-division-1994-1995-apertura
1993/1994 Clausura,arg-primera-division-1993-1994-clausura
1993/1994 Apertura,arg-primera-division-1993-1994-apertura
1992/1993 Clausura,arg-primera-division-1992-1993-clausura
1992/1993 Apertura,arg-primera-division-1992-1993-apertura
1991/1992 Clausura,arg-primera-division-1991-1992-clausura
1991/1992 Apertura,arg-primera-division-1991-1992-apertura
1990/1991 Finale,arg-primera-division-1990-1991-finale
1990/1991 Clausura,arg-primera-division-1990-1991-clausura
1990/1991 Apertura,arg-primera-division-1990-1991-apertura
1989/1990,arg-primera-division-1989-1990
1988/1989,arg-primera-division-1988-1989
1987/1988,arg-primera-division-1987-1988
1986/1987,arg-primera-division-1986-1987
1985/1986,arg-primera-division-1985-1986
