season,slug
2024/2025,aut-2-liga-2024-2025
2023/2024,aut-2-liga-2023-2024
2022/2023,aut-2-liga-2022-2023
2021/2022,aut-2-liga-2021-2022
2020/2021,aut-2-liga-2020-2021
2019/2020,aut-2-liga-2019-2020
2018/2019,aut-erste-liga-2018-2019
2017/2018,aut-erste-liga-2017-2018
2016/2017,aut-erste-liga-2016-2017
2015/2016,aut-erste-liga-2015-2016
2014/2015,aut-erste-liga-2014-2015
2013/2014,aut-erste-liga-2013-2014
2012/2013,aut-erste-liga-2012-2013
2011/2012,aut-erste-liga-2011-2012
2010/2011,aut-erste-liga-2010-2011
2009/2010,aut-erste-liga-2009-2010
2008/2009,aut-erste-liga-2008-2009
2007/2008,aut-erste-liga-2007-2008
2006/2007,aut-erste-liga-2006-2007
2005/2006,aut-erste-liga-2005-2006
2004/2005,aut-erste-liga-2004-2005
2003/2004,aut-erste-liga-2003-2004
2002/2003,aut-erste-liga-2002-2003
2001/2002,aut-erste-liga-2001-2002
2000/2001,aut-erste-liga-2000-2001
1999/2000,aut-erste-liga-1999-2000
1998/1999,aut-erste-liga-1998-1999
1997/1998,aut-erste-liga-1997-1998
1996/1997,aut-erste-liga-1996-1997
1995/1996,aut-erste-liga-1995-1996
1994/1995,aut-erste-liga-1994-1995
1993/1994,aut-erste-liga-1993-1994
1992/1993,aut-erste-liga-1992-1993
1991/1992,aut-erste-liga-1991-1992
1990/1991,aut-erste-liga-1990-1991
1989/1990,aut-erste-liga-1989-1990
1988/1989,aut-erste-liga-1988-1989
1987/1988,aut-erste-liga-1987-1988
1986/1987,aut-erste-liga-1986-1987
1985/1986,aut-erste-liga-1985-1986
1984/1985,aut-erste-liga-1984-1985
