season,slug
2024/2025,aut-oefb-cup-2024-2025
2023/2024,aut-oefb-cup-2023-2024
2022/2023,aut-oefb-cup-2022-2023
2021/2022,aut-oefb-cup-2021-2022
2020/2021,aut-oefb-cup-2020-2021
2019/2020,aut-oefb-cup-2019-2020
2018/2019,aut-oefb-cup-2018-2019
2017/2018,aut-oefb-cup-2017-2018
2016/2017,aut-oefb-cup-2016-2017
2015/2016,aut-oefb-cup-2015-2016
2014/2015,aut-oefb-cup-2014-2015
2013/2014,aut-oefb-cup-2013-2014
2012/2013,aut-oefb-cup-2012-2013
2011/2012,aut-oefb-cup-2011-2012
2010/2011,aut-oefb-cup-2010-2011
2009/2010,aut-oefb-cup-2009-2010
2008/2009,aut-oefb-cup-2008-2009
2006/2007,aut-oefb-cup-2006-2007
2005/2006,aut-oefb-cup-2005-2006
2004/2005,aut-oefb-cup-2004-2005
2003/2004,aut-oefb-cup-2003-2004
2002/2003,aut-oefb-cup-2002-2003
2001/2002,aut-oefb-cup-2001-2002
2000/2001,aut-oefb-cup-2000-2001
1999/2000,aut-oefb-cup-1999-2000
1998/1999,aut-oefb-cup-1998-1999
1997/1998,aut-oefb-cup-1997-1998
1996/1997,aut-oefb-cup-1996-1997
1995/1996,aut-oefb-cup-1995-1996
1994/1995,aut-oefb-cup-1994-1995
1993/1994,aut-oefb-cup-1993-1994
1992/1993,aut-oefb-cup-1992-1993
1991/1992,aut-oefb-cup-1991-1992
1990/1991,aut-oefb-cup-1990-1991
1989/1990,aut-oefb-cup-1989-1990
1988/1989,aut-oefb-cup-1988-1989
1987/1988,aut-oefb-cup-1987-1988
1986/1987,aut-oefb-cup-1986-1987
1985/1986,aut-oefb-cup-1985-1986
1984/1985,aut-oefb-cup-1984-1985
1983/1984,aut-oefb-cup-1983-1984
1982/1983,aut-oefb-cup-1982-1983
1981/1982,aut-oefb-cup-1981-1982
1980/1981,aut-oefb-cup-1980-1981
1979/1980,aut-oefb-cup-1979-1980
1978/1979,aut-oefb-cup-1978-1979
1977/1978,aut-oefb-cup-1977-1978
1976/1977,aut-oefb-cup-1976-1977
1975/1976,aut-oefb-cup-1975-1976
1974/1975,aut-oefb-cup-1974-1975
1973/1974,aut-oefb-cup-1973-1974
1972/1973,aut-oefb-cup-1972-1973
1971/1972,aut-oefb-cup-1971-1972
1970/1971,aut-oefb-cup-1970-1971
1969/1970,aut-oefb-cup-1969-1970
1968/1969,aut-oefb-cup-1968-1969
1967/1968,aut-oefb-cup-1967-1968
1966/1967,aut-oefb-cup-1966-1967
1965/1966,aut-oefb-cup-1965-1966
1964/1965,aut-oefb-cup-1964-1965
1963/1964,aut-oefb-cup-1963-1964
1962/1963,aut-oefb-cup-1962-1963
1961/1962,aut-oefb-cup-1961-1962
1960/1961,aut-oefb-cup-1960-1961
1959/1960,aut-oefb-cup-1959-1960
1958/1959,aut-oefb-cup-1958-1959
1948/1949,aut-oefb-cup-1948-1949
1947/1948,aut-oefb-cup-1947-1948
1946/1947,aut-oefb-cup-1946-1947
1945/1946,aut-oefb-cup-1945-1946
1937/1938,aut-oefb-cup-1937-1938
1936/1937,aut-oefb-cup-1936-1937
1935/1936,aut-oefb-cup-1935-1936
1934/1935,aut-oefb-cup-1934-1935
1933/1934,aut-oefb-cup-1933-1934
1932/1933,aut-oefb-cup-1932-1933
1931/1932,aut-oefb-cup-1931-1932
1930/1931,aut-oefb-cup-1930-1931
1929/1930,aut-oefb-cup-1929-1930
1928/1929,aut-oefb-cup-1928-1929
1927/1928,aut-oefb-cup-1927-1928
1926/1927,aut-oefb-cup-1926-1927
1925/1926,aut-oefb-cup-1925-1926
1924/1925,aut-oefb-cup-1924-1925
1923/1924,aut-oefb-cup-1923-1924
1922/1923,aut-oefb-cup-1922-1923
1921/1922,aut-oefb-cup-1921-1922
1920/1921,aut-oefb-cup-1920-1921
1919/1920,aut-oefb-cup-1919-1920
1918/1919,aut-oefb-cup-1918-1919
