season,slug
2024/2025,bel-eerste-klasse-a-2024-2025
2023/2024 Relegation,bel-eerste-klasse-a-2023-2024-relegation
2023/2024 Europe,bel-eerste-klasse-a-2023-2024-europe
2023/2024 ECL Playoff,bel-eerste-klasse-a-2023-2024-ecl-playoff
2023/2024 Championship,bel-eerste-klasse-a-2023-2024-championship
2023/2024,bel-eerste-klasse-a-2023-2024
2022/2023 Europe,bel-eerste-klasse-a-2022-2023-europe
2022/2023 Championship,bel-eerste-klasse-a-2022-2023-championship
2022/2023,bel-eerste-klasse-a-2022-2023
2021/2022 Europe,bel-eerste-klasse-a-2021-2022-europe
2021/2022 Championship,bel-eerste-klasse-a-2021-2022-championship
2021/2022,bel-eerste-klasse-a-2021-2022
2020/2021 Europe,bel-eerste-klasse-a-2020-2021-europe
2020/2021 Championship,bel-eerste-klasse-a-2020-2021-championship
2020/2021,bel-eerste-klasse-a-2020-2021
2019/2020,bel-eerste-klasse-a-2019-2020
2018/2019 Playoff I,bel-eerste-klasse-a-2018-2019-playoff-i
2018/2019,bel-eerste-klasse-a-2018-2019
2017/2018 Playoff I,bel-eerste-klasse-a-2017-2018-playoff-i
2017/2018,bel-eerste-klasse-a-2017-2018
2016/2017 Playoff I,bel-eerste-klasse-a-2016-2017-playoff-i
2016/2017,bel-eerste-klasse-2016-2017
2015/2016 Playoff II-B,bel-eerste-klasse-a-2015-2016-playoff-ii-b
2015/2016 Playoff II-A,bel-eerste-klasse-a-2015-2016-playoff-ii-a
2015/2016 Playoff I,bel-eerste-klasse-a-2015-2016-playoff-i
2015/2016 Playoff EL,bel-eerste-klasse-a-2015-2016-playoff-el
2015/2016,bel-eerste-klasse-2015-2016
2014/2015 Playoff III,bel-eerste-klasse-a-2014-2015-playoff-iii
2014/2015 Playoff II-B,bel-eerste-klasse-a-2014-2015-playoff-ii-b
2014/2015 Playoff II-A,bel-eerste-klasse-a-2014-2015-playoff-ii-a
2014/2015 Playoff I,bel-eerste-klasse-a-2014-2015-playoff-i
2014/2015 Playoff EL,bel-eerste-klasse-a-2014-2015-playoff-el
2014/2015,bel-eerste-klasse-2014-2015
2013/2014 Playoff III,bel-eerste-klasse-a-2013-2014-playoff-iii
2013/2014 Playoff II-B,bel-eerste-klasse-a-2013-2014-playoff-ii-b
2013/2014 Playoff II-A,bel-eerste-klasse-a-2013-2014-playoff-ii-a
2013/2014 Playoff I,bel-eerste-klasse-a-2013-2014-playoff-i
2013/2014 Playoff Finals,bel-eerste-klasse-a-2013-2014-playoff-finals
2013/2014,bel-eerste-klasse-2013-2014
2012/2013 Relegation,bel-eerste-klasse-a-2012-2013-relegation
2012/2013 Playoff III,bel-eerste-klasse-a-2012-2013-playoff-iii
2012/2013 Playoff II-B,bel-eerste-klasse-a-2012-2013-playoff-ii-b
2012/2013 Playoff II-A,bel-eerste-klasse-a-2012-2013-playoff-ii-a
2012/2013 Playoff I,bel-eerste-klasse-a-2012-2013-playoff-i
2012/2013,bel-jupiler-pro-league-2012-2013
2011/2012 Relegation,bel-eerste-klasse-a-2011-2012-relegation
2011/2012 Playoff II-B,bel-eerste-klasse-a-2011-2012-playoff-ii-b
2011/2012 Playoff II-A,bel-eerste-klasse-a-2011-2012-playoff-ii-a
2011/2012 Playoff I,bel-eerste-klasse-a-2011-2012-playoff-i
2011/2012 Playoff EL,bel-eerste-klasse-a-2011-2012-playoff-el
2011/2012,bel-jupiler-pro-league-2011-2012
2010/2011 Relegation,bel-eerste-klasse-a-2010-2011-relegation
2010/2011 Playoff II-B,bel-eerste-klasse-a-2010-2011-playoff-ii-b
2010/2011 Playoff II-A,bel-eerste-klasse-a-2010-2011-playoff-ii-a
2010/2011 Playoff I,bel-eerste-klasse-a-2010-2011-playoff-i
2010/2011 Playoff EL,bel-eerste-klasse-a-2010-2011-playoff-el
2010/2011,bel-jupiler-league-2010-2011
2009/2010 Playoff II-B,bel-jupiler-league-2009-2010-playoff-ii-b
2009/2010 Playoff II-A,bel-jupiler-league-2009-2010-playoff-ii-a
2009/2010 Playoff I,bel-jupiler-league-2009-2010-playoff-i
2009/2010 Playoff EL,bel-jupiler-league-2009-2010-playoff-el
2009/2010,bel-jupiler-league-2009-2010
2009 Meisterschaft,bel-jupiler-league-2009-meisterschaft
2008/2009,bel-jupiler-league-2008-2009
2007/2008,bel-jupiler-league-2007-2008
2006/2007,bel-jupiler-league-2006-2007
2005/2006,bel-jupiler-league-2005-2006
2004/2005,bel-jupiler-league-2004-2005
2003/2004,bel-jupiler-league-2003-2004
2002/2003,bel-eerste-klasse-2002-2003
2001/2002,bel-eerste-klasse-2001-2002
2000/2001,bel-eerste-klasse-2000-2001
1999/2000,bel-eerste-klasse-1999-2000
1998/1999,bel-eerste-klasse-1998-1999
1997/1998,bel-eerste-klasse-1997-1998
1996/1997,bel-eerste-klasse-1996-1997
1995/1996,bel-eerste-klasse-1995-1996
1994/1995,bel-eerste-klasse-a-1994-1995
1993/1994,bel-eerste-klasse-a-1993-1994
1992/1993,bel-eerste-klasse-a-1992-1993
1991/1992,bel-eerste-klasse-a-1991-1992
1990/1991,bel-eerste-klasse-a-1990-1991
1989/1990,bel-eerste-klasse-a-1989-1990
1988/1989,bel-eerste-klasse-a-1988-1989
1987/1988,bel-eerste-klasse-a-1987-1988
1986/1987,bel-eerste-klasse-a-1986-1987
1985/1986,bel-eerste-klasse-a-1985-1986
1984/1985,bel-eerste-klasse-a-1984-1985
1983/1984,bel-eerste-klasse-a-1983-1984
1982/1983,bel-eerste-klasse-a-1982-1983
1981/1982,bel-eerste-klasse-a-1981-1982
1980/1981,bel-eerste-klasse-a-1980-1981
1979/1980,bel-eerste-klasse-a-1979-1980
1978/1979,bel-eerste-klasse-a-1978-1979
1977/1978,bel-eerste-klasse-a-1977-1978
1976/1977,bel-eerste-klasse-a-1976-1977
1975/1976,bel-eerste-klasse-a-1975-1976
1974/1975,bel-eerste-klasse-a-1974-1975
1973/1974,bel-eerste-klasse-a-1973-1974
1972/1973,bel-eerste-klasse-a-1972-1973
1971/1972,bel-eerste-klasse-a-1971-1972
1970/1971,bel-eerste-klasse-a-1970-1971
1969/1970,bel-eerste-klasse-a-1969-1970
1968/1969,bel-eerste-klasse-a-1968-1969
1967/1968,bel-eerste-klasse-a-1967-1968
1966/1967,bel-eerste-klasse-a-1966-1967
1965/1966,bel-eerste-klasse-a-1965-1966
1964/1965,bel-eerste-klasse-a-1964-1965
1963/1964,bel-eerste-klasse-a-1963-1964
1962/1963,bel-eerste-klasse-a-1962-1963
