season,slug
2023/2024,bel-beker-van-belgie-2023-2024
2022/2023,bel-beker-van-belgie-2022-2023
2021/2022,bel-beker-van-belgie-2021-2022
2020/2021,bel-beker-van-belgie-2020-2021
2019/2020,bel-beker-van-belgie-2019-2020
2018/2019,bel-beker-van-belgie-2018-2019
2017/2018,bel-beker-van-belgie-2017-2018
2016/2017,bel-beker-van-belgie-2016-2017
2015/2016,bel-beker-van-belgie-2015-2016
2014/2015,bel-beker-van-belgie-2014-2015
2013/2014,bel-beker-van-belgie-2013-2014
2012/2013,bel-beker-van-belgie-2012-2013
2011/2012,bel-beker-van-belgie-2011-2012
2010/2011,bel-beker-van-belgie-2010-2011
2009/2010,bel-beker-van-belgie-2009-2010
2008/2009,bel-beker-van-belgie-2008-2009
2007/2008,bel-beker-van-belgie-2007-2008
2006/2007,bel-beker-van-belgie-2006-2007
