season,slug
2024 Clausura,bol-liga-profesional-2024-clausura
2024 Apertura Playoffs,bol-liga-profesional-2024-apertura-playoffs
2024 Apertura,bol-liga-profesional-2024-apertura
2023,bol-liga-profesional-2023
2022 Clausura,bol-liga-profesional-2022-clausura
2022 Apertura Playoffs,bol-liga-profesional-2022-apertura-playoffs
2022 Apertura,bol-liga-profesional-2022-apertura
2021,bol-liga-profesional-2021
2020,bol-liga-profesional-2020
2019 Clausura,bol-liga-profesional-2019-clausura
2019 Apertura,bol-liga-profesional-2019-apertura
2018 Clausura,bol-liga-profesional-2018-clausura
2018 Campeón Apertura,bol-liga-profesional-2018-campeon-apertura
2018 Apertura,bol-liga-profesional-2018-apertura
2018 Ap. Copa Sud. Playoff,bol-liga-profesional-2018-ap-copa-sud-playoff
2017 Clausura,bol-liga-profesional-2017-clausura
2017 Apertura,bol-liga-profesional-2017-apertura
2016/2017 Apertura Campeón,bol-liga-profesional-2016-2017-apertura-campeon
2016/2017 Apertura,bol-liga-profesional-2016-2017-apertura
2015/2016 Clausura,bol-liga-profesional-2015-2016-clausura
2015/2016 Apertura,bol-liga-profesional-2015-2016-apertura
2014/2015 Clausura,bol-liga-profesional-2014-2015-clausura
2014/2015 Apertura,bol-liga-profesional-2014-2015-apertura
2013/2014 Clausura,bol-liga-profesional-2013-2014-clausura
2013/2014 Apertura,bol-liga-profesional-2013-2014-apertura
2012/2013 Clausura,bol-liga-profesional-2012-2013-clausura
2012/2013 Apertura Playoffs,bol-liga-profesional-2012-2013-apertura-playoffs
2012/2013 Apertura,bol-liga-profesional-2012-2013-apertura
2011/2012 Clausura,bol-liga-profesional-2011-2012-clausura
2011/2012 Apertura Finals,bol-liga-profesional-2011-2012-apertura-finals
2011/2012 Apertura,bol-liga-profesional-2011-2012-apertura
2011 Torneo Adecuación,bol-liga-profesional-2011-torneo-adecuacion
2010 Clausura,bol-liga-profesional-2010-clausura
2010 Apertura Perdedores,bol-liga-profesional-2010-apertura-perdedores
2010 Apertura Ganadores,bol-liga-profesional-2010-apertura-ganadores
2010 Apertura,bol-liga-profesional-2010-apertura
2009 Playoffs Copa Libertadore,bol-liga-profesional-2009-playoffs-copa-libertadore
2009 Clausura Finals,bol-liga-profesional-2009-clausura-finals
2009 Clausura,bol-liga-profesional-2009-clausura
2009 Apertura,bol-liga-profesional-2009-apertura
2008 Clausura Finals,bol-liga-profesional-2008-clausura-finals
2008 Clausura,bol-liga-profesional-2008-clausura
2008 Apertura,bol-liga-profesional-2008-apertura
2007 Hexagonal-Finale,bol-liga-profesional-2007-hexagonal-finale
2007 Clausura,bol-liga-profesional-2007-clausura
2007 Apertura,bol-liga-profesional-2007-apertura
