season,slug
2024/2025,sui-super-league-2024-2025
2023/2024 Relegation,sui-super-league-2023-2024-relegation
2023/2024 Championship,sui-super-league-2023-2024-championship
2023/2024,sui-super-league-2023-2024
2022/2023,sui-super-league-2022-2023
2021/2022,sui-super-league-2021-2022
2020/2021,sui-super-league-2020-2021
2019/2020,sui-super-league-2019-2020
2018/2019,sui-super-league-2018-2019
2017/2018,sui-super-league-2017-2018
2016/2017,sui-super-league-2016-2017
2015/2016,sui-super-league-2015-2016
2014/2015,sui-super-league-2014-2015
2013/2014,sui-super-league-2013-2014
2012/2013,sui-super-league-2012-2013
2011/2012,sui-super-league-2011-2012
2010/2011,sui-super-league-2010-2011
2009/2010,sui-super-league-2009-2010
2008/2009,sui-super-league-2008-2009
2007/2008,sui-super-league-2007-2008
2006/2007,sui-super-league-2006-2007
2005/2006,sui-super-league-2005-2006
2004/2005,sui-super-league-2004-2005
2003/2004,sui-super-league-2003-2004
2002/2003 Finalrunde,sui-super-league-2002-2003-finalrunde
2002/2003 Abstieg,sui-super-league-2002-2003-abstieg
2002/2003,sui-super-league-2002-2003
2001/2002 Finalrunde,sui-super-league-2001-2002-finalrunde
2001/2002 Abstieg,sui-super-league-2001-2002-abstieg
2001/2002,sui-super-league-2001-2002
2000/2001 Finalrunde,sui-super-league-2000-2001-finalrunde
2000/2001 Abstieg,sui-super-league-2000-2001-abstieg
2000/2001,sui-super-league-2000-2001
1999/2000 Finalrunde,sui-super-league-1999-2000-finalrunde
1999/2000 Abstieg,sui-super-league-1999-2000-abstieg
1999/2000,sui-super-league-1999-2000
1998/1999 Finalrunde,sui-super-league-1998-1999-finalrunde
1998/1999 Abstieg,sui-super-league-1998-1999-abstieg
1998/1999,sui-super-league-1998-1999
1997/1998 Finalrunde,sui-super-league-1997-1998-finalrunde
1997/1998 Abstieg,sui-super-league-1997-1998-abstieg
1997/1998,sui-super-league-1997-1998
1996/1997 Finalrunde,sui-super-league-1996-1997-finalrunde
1996/1997 Abstieg,sui-super-league-1996-1997-abstieg
1996/1997,sui-super-league-1996-1997
1995/1996 Finalrunde,sui-super-league-1995-1996-finalrunde
1995/1996 Abstieg,sui-super-league-1995-1996-abstieg
1995/1996,sui-super-league-1995-1996
1994/1995 Finalrunde,sui-super-league-1994-1995-finalrunde
1994/1995 Abstieg,sui-super-league-1994-1995-abstieg
1994/1995,sui-super-league-1994-1995
1993/1994 Finalrunde,sui-super-league-1993-1994-finalrunde
1993/1994 Abstieg,sui-super-league-1993-1994-abstieg
1993/1994,sui-super-league-1993-1994
1992/1993 Finalrunde,sui-super-league-1992-1993-finalrunde
1992/1993 Abstieg Gruppe B,sui-super-league-1992-1993-abstieg-gruppe-b
1992/1993 Abstieg Gruppe A,sui-super-league-1992-1993-abstieg-gruppe-a
1992/1993,sui-super-league-1992-1993
1991/1992 Finalrunde,sui-super-league-1991-1992-finalrunde
1991/1992 Abstieg Gruppe B,sui-super-league-1991-1992-abstieg-gruppe-b
1991/1992 Abstieg Gruppe A,sui-super-league-1991-1992-abstieg-gruppe-a
1991/1992,sui-super-league-1991-1992
1990/1991 Championship,sui-super-league-1990-1991-championship
1990/1991 Abstieg Gruppe B,sui-super-league-1990-1991-abstieg-gruppe-b
1990/1991 Abstieg Gruppe A,sui-super-league-1990-1991-abstieg-gruppe-a
1990/1991,sui-super-league-1990-1991
1989/1990 Championship,sui-super-league-1989-1990-championship
1989/1990 Abstieg Gruppe B,sui-super-league-1989-1990-abstieg-gruppe-b
1989/1990 Abstieg Gruppe A,sui-super-league-1989-1990-abstieg-gruppe-a
1989/1990,sui-super-league-1989-1990
1988/1989 Championship,sui-super-league-1988-1989-championship
1988/1989 Abstieg Gruppe B,sui-super-league-1988-1989-abstieg-gruppe-b
1988/1989 Abstieg Gruppe A,sui-super-league-1988-1989-abstieg-gruppe-a
1988/1989,sui-super-league-1988-1989
1987/1988 Championship,sui-super-league-1987-1988-championship
1987/1988 Abstieg Gruppe B,sui-super-league-1987-1988-abstieg-gruppe-b
1987/1988 Abstieg Gruppe A,sui-super-league-1987-1988-abstieg-gruppe-a
1987/1988,sui-super-league-1987-1988
1986/1987 Abstieg,sui-super-league-1986-1987-abstieg
