season,slug
2024,chn-super-league-2024
2023,chn-super-league-2023
2022,chn-super-league-2022
2021 Relegation,chn-super-league-2021-relegation
2021 Playoffs,chn-super-league-2021-playoffs
2021,chn-super-league-2021
2020 Relegation,chn-super-league-2020-relegation
2020 Playoffs,chn-super-league-2020-playoffs
2020,chn-super-league-2020
2019,chn-super-league-2019
2018,chn-super-league-2018
2017,chn-super-league-2017
2016,chn-super-league-2016
2015,chn-super-league-2015
2014,chn-super-league-2014
2013,chn-super-league-2013
2012,chn-super-league-2012
2011,chn-super-league-2011
2010,chn-super-league-2010
2009,chn-super-league-2009
2008,chn-super-league-2008
2007,chn-super-league-2007
2006,chn-super-league-2006
2005,chn-super-league-2005
2004,chn-super-league-2004
2003,chn-super-league-2003
2002,chn-super-league-2002
2001,chn-super-league-2001
2000,chn-super-league-2000
1999,chn-super-league-1999
1998,chn-super-league-1998
1997,chn-super-league-1997
1996,chn-super-league-1996
1995,chn-super-league-1995
1994,chn-super-league-1994
