season,slug
2024/2025,cze-1-fotbalova-liga-2024-2025
2023/2024 Platzierung,cze-1-fotbalova-liga-2023-2024-platzierung
2023/2024 Meisterschaft,cze-1-fotbalova-liga-2023-2024-meisterschaft
2023/2024 ECL Playoff,cze-1-fotbalova-liga-2023-2024-ecl-playoff
2023/2024 Abstieg,cze-1-fotbalova-liga-2023-2024-abstieg
2023/2024,cze-1-fotbalova-liga-2023-2024
2022/2023 Platzierung,cze-1-fotbalova-liga-2022-2023-platzierung
2022/2023 Meisterschaft,cze-1-fotbalova-liga-2022-2023-meisterschaft
2022/2023 Abstieg,cze-1-fotbalova-liga-2022-2023-abstieg
2022/2023,cze-1-fotbalova-liga-2022-2023
2021/2022 Platzierung,cze-1-fotbalova-liga-2021-2022-platzierung
2021/2022 Meisterschaft,cze-1-fotbalova-liga-2021-2022-meisterschaft
2021/2022 Abstieg,cze-1-fotbalova-liga-2021-2022-abstieg
2021/2022,cze-1-fotbalova-liga-2021-2022
2020/2021,cze-1-fotbalova-liga-2020-2021
2019/2020 Meisterschaft,cze-1-fotbalova-liga-2019-2020-meisterschaft
2019/2020 Europa League,cze-1-fotbalova-liga-2019-2020-europa-league
2019/2020 Abstieg,cze-1-fotbalova-liga-2019-2020-abstieg
2019/2020,cze-1-fotbalova-liga-2019-2020
2018/2019 Meisterschaft,cze-1-fotbalova-liga-2018-2019-meisterschaft
2018/2019 Europa League,cze-1-fotbalova-liga-2018-2019-europa-league
2018/2019 Abstieg,cze-1-fotbalova-liga-2018-2019-abstieg
2018/2019,cze-1-fotbalova-liga-2018-2019
2017/2018,cze-1-fotbalova-liga-2017-2018
2016/2017,cze-1-fotbalova-liga-2016-2017
2015/2016,cze-1-fotbalova-liga-2015-2016
2014/2015,cze-1-fotbalova-liga-2014-2015
2013/2014,cze-1-fotbalova-liga-2013-2014
2012/2013,cze-gambrinus-liga-2012-2013
2011/2012,cze-gambrinus-liga-2011-2012
2010/2011,cze-gambrinus-liga-2010-2011
2009/2010,cze-gambrinus-liga-2009-2010
2008/2009,cze-gambrinus-liga-2008-2009
2007/2008,cze-gambrinus-liga-2007-2008
2006/2007,cze-gambrinus-liga-2006-2007
2005/2006,cze-gambrinus-liga-2005-2006
2004/2005,cze-gambrinus-liga-2004-2005
2003/2004,cze-gambrinus-liga-2003-2004
2002/2003,cze-gambrinus-liga-2002-2003
2001/2002,cze-gambrinus-liga-2001-2002
2000/2001,cze-gambrinus-liga-2000-2001
1999/2000,cze-gambrinus-liga-1999-2000
1998/1999,cze-gambrinus-liga-1998-1999
1997/1998,cze-gambrinus-liga-1997-1998
1996/1997,cze-gambrinus-liga-1996-1997
1995/1996,cze-gambrinus-liga-1995-1996
1994/1995,cze-gambrinus-liga-1994-1995
1993/1994,cze-gambrinus-liga-1993-1994
