season,slug
2023/2024,egy-premiership-2023-2024
2022/2023,egy-premiership-2022-2023
2021/2022,egy-premiership-2021-2022
2020/2021,egy-premiership-2020-2021
2019/2020,egy-premiership-2019-2020
2018/2019,egy-premiership-2018-2019
2017/2018,egy-premiership-2017-2018
2016/2017,egy-premiership-2016-2017
2015/2016,egy-premiership-2015-2016
2014/2015,egy-premiership-2014-2015
2013/2014 Meisterplayoff,egy-premiership-2013-2014-meisterplayoff
2013/2014 Abstiegsplayoff,egy-premiership-2013-2014-abstiegsplayoff
2013/2014,egy-premiership-2013-2014
2012/2013,egy-premiership-2012-2013
2011/2012,egy-premiership-2011-2012
2010/2011,egy-premiership-2010-2011
2009/2010,egy-premiership-2009-2010
2009 Meisterschaft,egy-premiership-2009-meisterschaft
2008/2009,egy-premiership-2008-2009
2007/2008,egy-premiership-2007-2008
2006/2007,egy-premiership-2006-2007
