season,slug
2024/2025,eng-championship-2024-2025
2023/2024,eng-championship-2023-2024
2022/2023,eng-championship-2022-2023
2021/2022,eng-championship-2021-2022
2020/2021,eng-championship-2020-2021
2019/2020,eng-championship-2019-2020
2018/2019,eng-championship-2018-2019
2017/2018,eng-championship-2017-2018
2016/2017,eng-championship-2016-2017
2015/2016,eng-championship-2015-2016
2014/2015,eng-championship-2014-2015
2013/2014,eng-championship-2013-2014
2012/2013,eng-championship-2012-2013
2011/2012,eng-championship-2011-2012
2010/2011,eng-championship-2010-2011
2009/2010,eng-championship-2009-2010
2008/2009,eng-championship-2008-2009
2007/2008,eng-championship-2007-2008
2006/2007,eng-championship-2006-2007
2005/2006,eng-championship-2005-2006
2004/2005,eng-championship-2004-2005
2003/2004,eng-championship-2003-2004
2002/2003,eng-championship-2002-2003
2001/2002,eng-championship-2001-2002
2000/2001,eng-championship-2000-2001
1999/2000,eng-championship-1999-2000
1998/1999,eng-championship-1998-1999
1997/1998,eng-championship-1997-1998
1996/1997,eng-championship-1996-1997
1995/1996,eng-championship-1995-1996
1994/1995,eng-championship-1994-1995
1993/1994,eng-championship-1993-1994
1992/1993,eng-championship-1992-1993
1991/1992,eng-championship-1991-1992
1990/1991,eng-championship-1990-1991
1989/1990,eng-championship-1989-1990
1988/1989,eng-championship-1988-1989
1987/1988,eng-championship-1987-1988
1986/1987,eng-championship-1986-1987
1985/1986,eng-championship-1985-1986
1984/1985,eng-championship-1984-1985
1983/1984,eng-championship-1983-1984
1982/1983,eng-championship-1982-1983
1981/1982,eng-championship-1981-1982
1980/1981,eng-championship-1980-1981
1979/1980,eng-championship-1979-1980
1978/1979,eng-championship-1978-1979
1977/1978,eng-championship-1977-1978
1976/1977,eng-championship-1976-1977
1975/1976,eng-championship-1975-1976
1974/1975,eng-championship-1974-1975
1973/1974,eng-championship-1973-1974
1972/1973,eng-championship-1972-1973
1971/1972,eng-championship-1971-1972
1970/1971,eng-championship-1970-1971
1969/1970,eng-championship-1969-1970
1968/1969,eng-championship-1968-1969
1967/1968,eng-championship-1967-1968
1966/1967,eng-championship-1966-1967
1965/1966,eng-championship-1965-1966
1964/1965,eng-championship-1964-1965
1963/1964,eng-championship-1963-1964
1962/1963,eng-championship-1962-1963
1961/1962,eng-championship-1961-1962
1960/1961,eng-championship-1960-1961
1959/1960,eng-championship-1959-1960
1958/1959,eng-championship-1958-1959
1957/1958,eng-championship-1957-1958
1956/1957,eng-championship-1956-1957
1955/1956,eng-championship-1955-1956
1954/1955,eng-championship-1954-1955
1953/1954,eng-championship-1953-1954
1952/1953,eng-championship-1952-1953
1951/1952,eng-championship-1951-1952
1950/1951,eng-championship-1950-1951
1949/1950,eng-championship-1949-1950
1948/1949,eng-championship-1948-1949
1947/1948,eng-championship-1947-1948
1946/1947,eng-championship-1946-1947
1939/1940,eng-championship-1939-1940
1938/1939,eng-championship-1938-1939
1937/1938,eng-championship-1937-1938
1936/1937,eng-championship-1936-1937
1935/1936,eng-championship-1935-1936
1934/1935,eng-championship-1934-1935
1933/1934,eng-championship-1933-1934
1932/1933,eng-championship-1932-1933
1931/1932,eng-championship-1931-1932
1930/1931,eng-championship-1930-1931
1929/1930,eng-championship-1929-1930
1928/1929,eng-championship-1928-1929
1927/1928,eng-championship-1927-1928
1926/1927,eng-championship-1926-1927
1925/1926,eng-championship-1925-1926
1924/1925,eng-championship-1924-1925
1923/1924,eng-championship-1923-1924
1922/1923,eng-championship-1922-1923
1921/1922,eng-championship-1921-1922
1920/1921,eng-championship-1920-1921
1919/1920,eng-championship-1919-1920
1914/1915,eng-championship-1914-1915
1913/1914,eng-championship-1913-1914
1912/1913,eng-championship-1912-1913
1911/1912,eng-championship-1911-1912
1910/1911,eng-championship-1910-1911
1909/1910,eng-championship-1909-1910
1908/1909,eng-championship-1908-1909
1907/1908,eng-championship-1907-1908
1906/1907,eng-championship-1906-1907
1905/1906,eng-championship-1905-1906
1904/1905,eng-championship-1904-1905
1903/1904,eng-championship-1903-1904
1902/1903,eng-championship-1902-1903
1901/1902,eng-championship-1901-1902
1900/1901,eng-championship-1900-1901
1899/1900,eng-championship-1899-1900
1898/1899,eng-championship-1898-1899
1897/1898,eng-championship-1897-1898
1896/1897,eng-championship-1896-1897
1895/1896,eng-championship-1895-1896
1894/1895,eng-championship-1894-1895
1893/1894,eng-championship-1893-1894
1892/1893,eng-championship-1892-1893
