season,slug
2024,fin-veikkausliiga-2024
2023 Relegation,fin-veikkausliiga-2023-relegation
2023 ECL Playoff,fin-veikkausliiga-2023-ecl-playoff
2023 Championship,fin-veikkausliiga-2023-championship
2023,fin-veikkausliiga-2023
2022 Meisterschaft,fin-veikkausliiga-2022-meisterschaft
2022 ECL Playoff,fin-veikkausliiga-2022-ecl-playoff
2022 Abstieg,fin-veikkausliiga-2022-abstieg
2022,fin-veikkausliiga-2022
2021 Meisterschaft,fin-veikkausliiga-2021-meisterschaft
2021 Abstieg,fin-veikkausliiga-2021-abstieg
2021,fin-veikkausliiga-2021
2020,fin-veikkausliiga-2020
2019 Playoff EL,fin-veikkausliiga-2019-playoff-el
2019 Meisterschaft,fin-veikkausliiga-2019-meisterschaft
2019 Abstieg,fin-veikkausliiga-2019-abstieg
2019,fin-veikkausliiga-2019
2018,fin-veikkausliiga-2018
2017,fin-veikkausliiga-2017
2016,fin-veikkausliiga-2016
2015,fin-veikkausliiga-2015
2014,fin-veikkausliiga-2014
2013,fin-veikkausliiga-2013
2012,fin-veikkausliiga-2012
2011,fin-veikkausliiga-2011
2010 Relegation,fin-veikkausliiga-2010-relegation
2010,fin-veikkausliiga-2010
2009 Relegation,fin-veikkausliiga-2009-relegation
2009,fin-veikkausliiga-2009
2008,fin-veikkausliiga-2008
2007,fin-veikkausliiga-2007
2006,fin-veikkausliiga-2006
2005,fin-veikkausliiga-2005
2004,fin-veikkausliiga-2004
2003,fin-veikkausliiga-2003
