season,slug
2024/2025,gre-super-league-2024-2025
2023/2024 Meisterschaft,gre-super-league-2023-2024-meisterschaft
2023/2024 Abstieg,gre-super-league-2023-2024-abstieg
2023/2024,gre-super-league-2023-2024
2022/2023 Meisterschaft,gre-super-league-2022-2023-meisterschaft
2022/2023 Abstieg,gre-super-league-2022-2023-abstieg
2022/2023,gre-super-league-2022-2023
2021/2022 Meisterschaft,gre-super-league-2021-2022-meisterschaft
2021/2022 Abstieg,gre-super-league-2021-2022-abstieg
2021/2022,gre-super-league-2021-2022
2020/2021 Meisterschaft,gre-super-league-2020-2021-meisterschaft
2020/2021 Abstieg,gre-super-league-2020-2021-abstieg
2020/2021,gre-super-league-2020-2021
2019/2020 Meisterschaft,gre-super-league-2019-2020-meisterschaft
2019/2020 Abstieg,gre-super-league-2019-2020-abstieg
2019/2020,gre-superleague-2019-2020
2018/2019,gre-superleague-2018-2019
2017/2018,gre-superleague-2017-2018
2017 Playoffs,gre-superleague-2017-playoffs
2016/2017,gre-superleague-2016-2017
2016 Playoffs,gre-superleague-2016-playoffs
2015/2016,gre-superleague-2015-2016
2015 Playoffs,gre-superleague-2015-playoffs
2014/2015,gre-superleague-2014-2015
2014 Playoffs,gre-superleague-2014-playoffs
2013/2014,gre-superleague-2013-2014
2013 Spiel um Platz 6,gre-superleague-2013-spiel-um-platz-6
2013 Playoffs,gre-superleague-2013-playoffs
2012/2013,gre-superleague-2012-2013
2012 Playoffs,gre-superleague-2012-playoffs
2011/2012,gre-superleague-2011-2012
2011 Playoffs,gre-superleague-2011-playoffs
2010/2011,gre-superleague-2010-2011
2010 Playoffs,gre-superleague-2010-playoffs
2009/2010,gre-superleague-2009-2010
2009 Playoffs,gre-superleague-2009-playoffs
2008/2009,gre-superleague-2008-2009
2008 Playoffs,gre-superleague-2008-playoffs
2007/2008,gre-superleague-2007-2008
2006/2007,gre-superleague-2006-2007
2005/2006,gre-superleague-2005-2006
2004/2005,gre-superleague-2004-2005
2003/2004,gre-superleague-2003-2004
2002/2003,gre-superleague-2002-2003
2001/2002,gre-superleague-2001-2002
2000/2001,gre-superleague-2000-2001
1999/2000,gre-superleague-1999-2000
1998/1999,gre-superleague-1998-1999
1997/1998,gre-superleague-1997-1998
1996/1997,gre-superleague-1996-1997
1995/1996,gre-superleague-1995-1996
1994/1995,gre-superleague-1994-1995
