season,slug
2024/2025 Apertura,hon-liga-nacional-2024-2025-apertura
2023/2024 Repechaje descenso,hon-liga-nacional-2023-2024-repechaje-descenso
2023/2024 Clausura Playoffs,hon-liga-nacional-2023-2024-clausura-playoffs
2023/2024 Clausura,hon-liga-nacional-2023-2024-clausura
2023/2024 Apertura Playoffs,hon-liga-nacional-2023-2024-apertura-playoffs_2
2023/2024 Apertura,hon-liga-nacional-2023-2024-apertura
2022/2023 Clausura Playoffs,hon-liga-nacional-2022-2023-clausura-playoffs
2022/2023 Clausura,hon-liga-nacional-2022-2023-clausura
2022/2023 Apertura Playoffs,hon-liga-nacional-2022-2023-apertura-playoffs
2022/2023 Apertura,hon-liga-nacional-2022-2023-apertura
2022/2023 Abstieg,hon-liga-nacional-2022-2023-abstieg
2021/2022 Clausura Playoffs,hon-liga-nacional-2021-2022-clausura-playoffs_2
2021/2022 Clausura,hon-liga-nacional-2021-2022-clausura
2021/2022 Apertura Playoffs,hon-liga-nacional-2021-2022-apertura-playoffs
2021/2022 Apertura,hon-liga-nacional-2021-2022-apertura
2020/2021 Clausura Playoffs,hon-liga-nacional-2020-2021-clausura-playoffs
2020/2021 Clausura,hon-liga-nacional-2020-2021-clausura
2020/2021 Apertura Playoffs,hon-liga-nacional-2020-2021-apertura-playoffs
2020/2021 Apertura,hon-liga-nacional-2020-2021-apertura
2019/2020 Clausura,hon-liga-nacional-2019-2020-clausura
2019/2020 Apertura Pentagonal,hon-liga-nacional-2019-2020-apertura-pentagonal
2019/2020 Apertura,hon-liga-nacional-2019-2020-apertura
2018/2019 Clausura Playoffs,hon-liga-nacional-2018-2019-clausura-playoffs
2018/2019 Clausura,hon-liga-nacional-2018-2019-clausura
2018/2019 Apertura Playoffs,hon-liga-nacional-2018-2019-apertura-playoffs
2018/2019 Apertura,hon-liga-nacional-2018-2019-apertura
2017/2018 Clausura Playoffs,hon-liga-nacional-2017-2018-clausura-playoffs
2017/2018 Clausura,hon-liga-nacional-2017-2018-clausura
2017/2018 Apertura Playoffs,hon-liga-nacional-2017-2018-apertura-playoffs
2017/2018 Apertura,hon-liga-nacional-2017-2018-apertura
2016/2017 Clausura Playoffs,hon-liga-nacional-2016-2017-clausura-playoffs
2016/2017 Clausura,hon-liga-nacional-2016-2017-clausura
2016/2017 Apertura Playoffs,hon-liga-nacional-2016-2017-apertura-playoffs
2016/2017 Apertura,hon-liga-nacional-2016-2017-apertura
2015/2016 Clausura Playoffs,hon-liga-nacional-2015-2016-clausura-playoffs
2015/2016 Clausura,hon-liga-nacional-2015-2016-clausura
2015/2016 Apertura Playoffs,hon-liga-nacional-2015-2016-apertura-playoffs
2015/2016 Apertura,hon-liga-nacional-2015-2016-apertura
2014/2015 Clausura Playoffs,hon-liga-nacional-2014-2015-clausura-playoffs
2014/2015 Clausura,hon-liga-nacional-2014-2015-clausura
2014/2015 Apertura Playoffs,hon-liga-nacional-2014-2015-apertura-playoffs
2014/2015 Apertura,hon-liga-nacional-2014-2015-apertura
2013/2014 Clausura Playoffs,hon-liga-nacional-2013-2014-clausura-playoffs
2013/2014 Clausura,hon-liga-nacional-2013-2014-clausura
2013/2014 Apertura Playoffs,hon-liga-nacional-2013-2014-apertura-playoffs
2013/2014 Apertura,hon-liga-nacional-2013-2014-apertura
2012/2013 Clausura Playoffs,hon-liga-nacional-2012-2013-clausura-playoffs
2012/2013 Clausura,hon-liga-nacional-2012-2013-clausura
2012/2013 Apertura Playoffs,hon-liga-nacional-2012-2013-apertura-playoffs
2012/2013 Apertura,hon-liga-nacional-2012-2013-apertura
2011/2012 Clausura Playoffs,hon-liga-nacional-2011-2012-clausura-playoffs
2011/2012 Clausura,hon-liga-nacional-2011-2012-clausura
2011/2012 Apertura Playoffs,hon-liga-nacional-2011-2012-apertura-playoffs
2011/2012 Apertura,hon-liga-nacional-2011-2012-apertura
2010/2011 Clausura Playoffs,hon-liga-nacional-2010-2011-clausura-playoffs
2010/2011 Clausura,hon-liga-nacional-2010-2011-clausura
2010/2011 Apertura Playoffs,hon-liga-nacional-2010-2011-apertura-playoffs
2010/2011 Apertura,hon-liga-nacional-2010-2011-apertura
2009/2010 Clausura Playoffs,hon-liga-nacional-2009-2010-clausura-playoffs
2009/2010 Clausura,hon-liga-nacional-2009-2010-clausura
2009/2010 Apertura Playoffs,hon-liga-nacional-2009-2010-apertura-playoffs
2009/2010 Apertura,hon-liga-nacional-2009-2010-apertura
