season,slug
2024/2025,hun-nb-i-2024-2025
2023/2024,hun-nb-i-2023-2024
2022/2023,hun-nb-i-2022-2023
2021/2022,hun-nb-i-2021-2022
2020/2021,hun-nb-i-2020-2021
2019/2020,hun-nb-i-2019-2020
2018/2019,hun-nb-i-2018-2019
2017/2018,hun-nb-i-2017-2018
2016/2017,hun-nb-i-2016-2017
2015/2016,hun-nb-i-2015-2016
2014/2015,hun-nb-i-2014-2015
2013/2014,hun-nb-i-2013-2014
2012/2013,hun-otp-liga-2012-2013
2011/2012,hun-otp-liga-2011-2012
2010/2011,hun-nb1-2010-2011
2009/2010,hun-nb1-2009-2010
2008/2009,hun-nb1-2008-2009
2007/2008,hun-borsodi-liga-2007-2008
2006/2007,hun-borsodi-liga-2006-2007
2005/2006,hun-borsodi-liga-2005-2006
2004/2005,hun-borsodi-liga-2004-2005
2004 Playoff,hun-borsodi-liga-2004-playoff
2004 Abstieg,hun-borsodi-liga-2004-abstieg
2003/2004,hun-borsodi-liga-2003-2004
2002/2003 Relegation,hun-nb-i-2002-2003-relegation
2002/2003 Playoff,hun-nb-i-2002-2003-playoff
2002/2003,hun-nb-i-2002-2003
2001/2002 Relegation,hun-nb-i-2001-2002-relegation
2001/2002 Playoff,hun-nb-i-2001-2002-playoff
2001/2002,hun-nb-i-2001-2002
2000/2001 Group B,hun-nb-i-2000-2001-group-b
2000/2001 Group A,hun-nb-i-2000-2001-group-a
2000/2001 Championship,hun-nb-i-2000-2001-championship
1999/2000,hun-nb-i-1999-2000
1998/1999,hun-nb-i-1998-1999
1997/1998,hun-nb-i-1997-1998
1996/1997,hun-nb-i-1996-1997
1995/1996,hun-nb-i-1995-1996
1994/1995,hun-nb-i-1994-1995
1993/1994,hun-nb-i-1993-1994
