season,slug
2024,irl-premier-division-2024
2023,irl-premier-division-2023
2022,irl-premier-division-2022
2021,irl-premier-division-2021
2020,irl-premier-division-2020
2019,irl-premier-division-2019
2018,irl-premier-division-2018
2017,irl-premier-division-2017
2016,irl-premier-division-2016
2015,irl-premier-division-2015
2014,irl-premier-division-2014
2013,irl-premier-division-2013
2012,irl-airtricity-league-2012
2011,irl-airtricity-league-2011
2010,irl-airtricity-league-2010
2009,irl-eircom-league-2009
2008,irl-eircom-league-2008
2007,irl-eircom-league-2007
2006,irl-eircom-league-2006
2005,irl-eircom-league-2005
2004,irl-eircom-league-2004
2003,irl-eircom-league-2003
