season,slug
2024/2025,ita-serie-a-2024-2025
2023/2024,ita-serie-a-2023-2024
2022/2023 Entscheidung Abstieg,ita-serie-a-2022-2023-entscheidung-abstieg
2022/2023,ita-serie-a-2022-2023
2021/2022,ita-serie-a-2021-2022
2020/2021,ita-serie-a-2020-2021
2019/2020,ita-serie-a-2019-2020
2018/2019,ita-serie-a-2018-2019
2017/2018,ita-serie-a-2017-2018
2016/2017,ita-serie-a-2016-2017
2015/2016,ita-serie-a-2015-2016
2014/2015,ita-serie-a-2014-2015
2013/2014,ita-serie-a-2013-2014
2012/2013,ita-serie-a-2012-2013
2011/2012,ita-serie-a-2011-2012
2010/2011,ita-serie-a-2010-2011
2009/2010,ita-serie-a-2009-2010
2008/2009,ita-serie-a-2008-2009
2007/2008,ita-serie-a-2007-2008
2006/2007,ita-serie-a-2006-2007
2005/2006,ita-serie-a-2005-2006
2004/2005 Abstieg,ita-serie-a-2004-2005-abstieg
2004/2005,ita-serie-a-2004-2005
2003/2004,ita-serie-a-2003-2004
2002/2003,ita-serie-a-2002-2003
2001/2002,ita-serie-a-2001-2002
2000/2001,ita-serie-a-2000-2001
1999/2000 Playoff,ita-serie-a-1999-2000-playoff
1999/2000,ita-serie-a-1999-2000
1998/1999 Uefa-Cup,ita-serie-a-1998-1999-uefa-cup
1998/1999,ita-serie-a-1998-1999
1997/1998,ita-serie-a-1997-1998
1996/1997,ita-serie-a-1996-1997
1995/1996,ita-serie-a-1995-1996
1994/1995,ita-serie-a-1994-1995
1993/1994,ita-serie-a-1993-1994
1992/1993,ita-serie-a-1992-1993
1991/1992,ita-serie-a-1991-1992
1990/1991,ita-serie-a-1990-1991
1989/1990,ita-serie-a-1989-1990
1988/1989,ita-serie-a-1988-1989
1987/1988,ita-serie-a-1987-1988
1986/1987,ita-serie-a-1986-1987
1985/1986,ita-serie-a-1985-1986
1984/1985,ita-serie-a-1984-1985
1983/1984,ita-serie-a-1983-1984
1982/1983,ita-serie-a-1982-1983
1981/1982,ita-serie-a-1981-1982
1980/1981,ita-serie-a-1980-1981
1979/1980,ita-serie-a-1979-1980
1978/1979,ita-serie-a-1978-1979
1977/1978,ita-serie-a-1977-1978
1976/1977,ita-serie-a-1976-1977
1975/1976,ita-serie-a-1975-1976
1974/1975,ita-serie-a-1974-1975
1973/1974,ita-serie-a-1973-1974
1972/1973,ita-serie-a-1972-1973
1971/1972,ita-serie-a-1971-1972
1970/1971,ita-serie-a-1970-1971
1969/1970,ita-serie-a-1969-1970
1968/1969,ita-serie-a-1968-1969
1967/1968,ita-serie-a-1967-1968
1966/1967,ita-serie-a-1966-1967
1965/1966,ita-serie-a-1965-1966
1964/1965,ita-serie-a-1964-1965
1963/1964,ita-serie-a-1963-1964
1962/1963,ita-serie-a-1962-1963
1961/1962,ita-serie-a-1961-1962
1960/1961 Relegation,ita-serie-a-1960-1961-relegation
1960/1961,ita-serie-a-1960-1961
1959/1960,ita-serie-a-1959-1960
1958/1959,ita-serie-a-1958-1959
1957/1958,ita-serie-a-1957-1958
1956/1957,ita-serie-a-1956-1957
1955/1956,ita-serie-a-1955-1956
1954/1955,ita-serie-a-1954-1955
1953/1954,ita-serie-a-1953-1954
1952/1953,ita-serie-a-1952-1953
1951/1952,ita-serie-a-1951-1952
1950/1951,ita-serie-a-1950-1951
1949/1950,ita-serie-a-1949-1950
1948/1949,ita-serie-a-1948-1949
1947/1948,ita-serie-a-1947-1948
1946/1947,ita-serie-a-1946-1947
1945/1946 Süd,ita-serie-a-1945-1946-sued
1945/1946 Nord,ita-serie-a-1945-1946-nord
1945/1946 Endrunde,ita-serie-a-1945-1946-endrunde
1942/1943,ita-serie-a-1942-1943
1941/1942,ita-serie-a-1941-1942
1940/1941,ita-serie-a-1940-1941
1939/1940,ita-serie-a-1939-1940
1938/1939,ita-serie-a-1938-1939
1937/1938,ita-serie-a-1937-1938
1936/1937,ita-serie-a-1936-1937
1935/1936,ita-serie-a-1935-1936
1934/1935,ita-serie-a-1934-1935
1933/1934,ita-serie-a-1933-1934
1932/1933,ita-serie-a-1932-1933
1931/1932,ita-serie-a-1931-1932
1930/1931,ita-serie-a-1930-1931
1929/1930,ita-serie-a-1929-1930
