season,slug
2024/2025,ita-coppa-italia-2024-2025
2023/2024,ita-coppa-italia-2023-2024_2
2022/2023,ita-coppa-italia-2022-2023
2021/2022,ita-coppa-italia-2021-2022
2020/2021,ita-coppa-italia-2020-2021
2019/2020,ita-coppa-italia-2019-2020
2018/2019,ita-coppa-italia-2018-2019
2017/2018,ita-coppa-italia-2017-2018
2016/2017,ita-coppa-italia-2016-2017
2015/2016,ita-coppa-italia-2015-2016
2014/2015,ita-coppa-italia-2014-2015
2013/2014,ita-coppa-italia-2013-2014_2
2012/2013,ita-coppa-italia-2012-2013
2011/2012,ita-coppa-italia-2011-2012
2010/2011,ita-coppa-italia-2010-2011
2009/2010,ita-coppa-italia-2009-2010
2008/2009,ita-coppa-italia-2008-2009
2007/2008,ita-coppa-italia-2007-2008
2006/2007,ita-coppa-italia-2006-2007
2005/2006,ita-coppa-italia-2005-2006
2004/2005,ita-coppa-italia-2004-2005
2003/2004,ita-coppa-italia-2003-2004
2002/2003,ita-coppa-italia-2002-2003
2001/2002,ita-coppa-italia-2001-2002
2000/2001,ita-coppa-italia-2000-2001
1999/2000,ita-coppa-italia-1999-2000
1998/1999,ita-coppa-italia-1998-1999
1997/1998,ita-coppa-italia-1997-1998
1996/1997,ita-coppa-italia-1996-1997
1995/1996,ita-coppa-italia-1995-1996
1994/1995,ita-coppa-italia-1994-1995
1993/1994,ita-coppa-italia-1993-1994
1992/1993,ita-coppa-italia-1992-1993
1991/1992,ita-coppa-italia-1991-1992
1990/1991,ita-coppa-italia-1990-1991
1989/1990,ita-coppa-italia-1989-1990
1988/1989,ita-coppa-italia-1988-1989
1987/1988,ita-coppa-italia-1987-1988
1986/1987,ita-coppa-italia-1986-1987
1985/1986,ita-coppa-italia-1985-1986
1984/1985,ita-coppa-italia-1984-1985
1983/1984,ita-coppa-italia-1983-1984
1982/1983,ita-coppa-italia-1982-1983
1981/1982,ita-coppa-italia-1981-1982
1980/1981,ita-coppa-italia-1980-1981
1979/1980,ita-coppa-italia-1979-1980
1978/1979,ita-coppa-italia-1978-1979
1977/1978,ita-coppa-italia-1977-1978
1976/1977,ita-coppa-italia-1976-1977
1975/1976,ita-coppa-italia-1975-1976
1974/1975,ita-coppa-italia-1974-1975
1973/1974,ita-coppa-italia-1973-1974
1972/1973,ita-coppa-italia-1972-1973
1971/1972,ita-coppa-italia-1971-1972
1970/1971,ita-coppa-italia-1970-1971
