season,slug
2024,jpn-j1-league-2024
2023,jpn-j1-league-2023
2022,jpn-j1-league-2022
2021,jpn-j1-league-2021
2020,jpn-j1-league-2020
2019,jpn-j1-league-2019
2018,jpn-j1-league-2018
2017,jpn-j1-league-2017
2016 Meisterschaft,jpn-j1-league-2016-meisterschaft
2016 2. Phase,jpn-j1-league-2016-2-phase
2016 1. Phase,jpn-j1-league-2016-1-phase
2015 Playoff,jpn-j1-league-2015-playoff
2015 2. Phase,jpn-j-league-2015-2-phase
2015 1. Phase,jpn-j-league-2015-1-phase
2014,jpn-j-league-2014
2013,jpn-j-league-2013
2012,jpn-j-league-2012
2011,jpn-j-league-2011
2010,jpn-j-league-2010
2009,jpn-j-league-2009
2008,jpn-j-league-2008
2007,jpn-j-league-2007
2006,jpn-j-league-2006
2005,jpn-j-league-2005
2004 Playoff,jpn-j-league-2004-playoff
2004,jpn-j-league-2004
2003 2nd stage,jpn-j1-league-2003-2nd-stage
2003 1st stage,jpn-j1-league-2003-1st-stage
2002 2nd stage,jpn-j1-league-2002-2nd-stage
2002 1st stage,jpn-j1-league-2002-1st-stage
2001 Playoff,jpn-j1-league-2001-playoff
2001 2nd stage,jpn-j1-league-2001-2nd-stage
2001 1st stage,jpn-j1-league-2001-1st-stage
2000 Playoff,jpn-j1-league-2000-playoff
2000 2nd stage,jpn-j1-league-2000-2nd-stage
2000 1st stage,jpn-j1-league-2000-1st-stage
1999 Playoff,jpn-j1-league-1999-playoff
1999 2nd stage,jpn-j1-league-1999-2nd-stage
1999 1st stage,jpn-j1-league-1999-1st-stage
1998 Playoff,jpn-j1-league-1998-playoff
1998 2nd stage,jpn-j1-league-1998-2nd-stage
1998 1st stage,jpn-j1-league-1998-1st-stage
1997 Playoff,jpn-j1-league-1997-playoff
1997 2nd stage,jpn-j1-league-1997-2nd-stage
1997 1st stage,jpn-j1-league-1997-1st-stage
1996,jpn-j1-league-1996
1995 Playoff,jpn-j1-league-1995-playoff
1995 2nd stage,jpn-j1-league-1995-2nd-stage
1995 1st stage,jpn-j1-league-1995-1st-stage
1994 Playoff,jpn-j1-league-1994-playoff
1994 2nd stage,jpn-j1-league-1994-2nd-stage
1994 1st stage,jpn-j1-league-1994-1st-stage
1993 Playoff,jpn-j1-league-1993-playoff
1993 2nd stage,jpn-j1-league-1993-2nd-stage
1993 1st stage,jpn-j1-league-1993-1st-stage
