season,slug
2024/2025 Apertura,nca-liga-primera-2024-2025-apertura
2023/2024 Clausura Playoffs,nca-liga-primera-2023-2024-clausura-playoffs
2023/2024 Clausura,nca-liga-primera-2023-2024-clausura
2023/2024 Apertura Playoffs,nca-liga-primera-2023-2024-apertura-playoffs
2023/2024 Apertura,nca-liga-primera-2023-2024-apertura
2022/2023 Clausura Playoffs,nca-liga-primera-2022-2023-clausura-playoffs
2022/2023 Clausura,nca-liga-primera-2022-2023-clausura
2022/2023 Apertura Playoffs,nca-liga-primera-2022-2023-apertura-playoffs
2022/2023 Apertura,nca-liga-primera-2022-2023-apertura
2021/2022 Clausura Playoffs,nca-liga-primera-2021-2022-clausura-playoffs
2021/2022 Clausura,nca-liga-primera-2021-2022-clausura
2021/2022 Apertura Playoffs,nca-liga-primera-2021-2022-apertura-playoffs
2021/2022 Apertura,nca-liga-primera-2021-2022-apertura
2020/2021 Clausura Playoffs,nca-liga-primera-2020-2021-clausura-playoffs
2020/2021 Clausura,nca-liga-primera-2020-2021-clausura
2020/2021 Apertura Playoffs,nca-liga-primera-2020-2021-apertura-playoffs
2020/2021 Apertura,nca-liga-primera-2020-2021-apertura
2019/2020 Clausura Playoffs,nca-liga-primera-2019-2020-clausura-playoffs
2019/2020 Clausura,nca-liga-primera-2019-2020-clausura
2019/2020 Apertura Playoffs,nca-liga-primera-2019-2020-apertura-playoffs
2019/2020 Apertura,nca-liga-primera-2019-2020-apertura
