season,slug
2024/2025,ned-eerste-divisie-2024-2025
2023/2024,ned-eerste-divisie-2023-2024
2022/2023,ned-eerste-divisie-2022-2023
2021/2022,ned-eerste-divisie-2021-2022
2020/2021,ned-eerste-divisie-2020-2021
2019/2020,ned-eerste-divisie-2019-2020
2018/2019,ned-eerste-divisie-2018-2019
2017/2018,ned-eerste-divisie-2017-2018
2016/2017,ned-eerste-divisie-2016-2017
2015/2016,ned-eerste-divisie-2015-2016
2014/2015,ned-eerste-divisie-2014-2015
2013/2014,ned-eerste-divisie-2013-2014
2012/2013,ned-jupiler-league-2012-2013
2011/2012,ned-jupiler-league-2011-2012
2010/2011,ned-jupiler-league-2010-2011
2009/2010,ned-jupiler-league-2009-2010
2008/2009,ned-jupiler-league-2008-2009
2007/2008,ned-jupiler-league-2007-2008
2006/2007,ned-jupiler-league-2006-2007
2005/2006,ned-jupiler-league-2005-2006
2004/2005,ned-jupiler-league-2004-2005
2003/2004,ned-jupiler-league-2003-2004
2002/2003,ned-jupiler-league-2002-2003
2001/2002,ned-jupiler-league-2001-2002
2000/2001,ned-jupiler-league-2000-2001
1999/2000,ned-eerste-divisie-1999-2000
1998/1999,ned-eerste-divisie-1998-1999
1997/1998,ned-eerste-divisie-1997-1998
1996/1997,ned-eerste-divisie-1996-1997
