season,slug
2024/2025,ned-knvb-beker-2024-2025
2023/2024,ned-knvb-beker-2023-2024
2022/2023,ned-knvb-beker-2022-2023
2021/2022,ned-knvb-beker-2021-2022
2020/2021,ned-knvb-beker-2020-2021
2019/2020,ned-knvb-beker-2019-2020
2018/2019,ned-knvb-beker-2018-2019
2017/2018,ned-knvb-beker-2017-2018
2016/2017,ned-knvb-beker-2016-2017
2015/2016,ned-knvb-beker-2015-2016
2014/2015,ned-knvb-beker-2014-2015
2013/2014,ned-knvb-beker-2013-2014
2012/2013,ned-knvb-beker-2012-2013
2011/2012,ned-knvb-beker-2011-2012
2010/2011,ned-knvb-beker-2010-2011
2009/2010,ned-knvb-beker-2009-2010
2008/2009,ned-knvb-beker-2008-2009
2007/2008,ned-gatorade-cup-2007-2008
2006/2007,ned-gatorade-cup-2006-2007
2005/2006,ned-gatorade-cup-2005-2006
2004/2005,ned-knvb-beker-2004-2005
2003/2004,ned-knvb-beker-2003-2004
2002/2003,ned-knvb-beker-2002-2003
2001/2002,ned-knvb-beker-2001-2002
2000/2001,ned-knvb-beker-2000-2001
1999/2000,ned-knvb-beker-1999-2000
1998/1999,ned-knvb-beker-1998-1999
1997/1998,ned-knvb-beker-1997-1998
1996/1997,ned-knvb-beker-1996-1997
1995/1996,ned-knvb-beker-1995-1996
1994/1995,ned-knvb-beker-1994-1995
1993/1994,ned-knvb-beker-1993-1994
1992/1993,ned-knvb-beker-1992-1993
1991/1992,ned-knvb-beker-1991-1992
1990/1991,ned-knvb-beker-1990-1991
1989/1990,ned-knvb-beker-1989-1990
1988/1989,ned-knvb-beker-1988-1989
1987/1988,ned-knvb-beker-1987-1988
1986/1987,ned-knvb-beker-1986-1987
1985/1986,ned-knvb-beker-1985-1986
1984/1985,ned-knvb-beker-1984-1985
1983/1984,ned-knvb-beker-1983-1984
1982/1983,ned-knvb-beker-1982-1983
1981/1982,ned-knvb-beker-1981-1982
1980/1981,ned-knvb-beker-1980-1981
1979/1980,ned-knvb-beker-1979-1980
1978/1979,ned-knvb-beker-1978-1979
1977/1978,ned-knvb-beker-1977-1978
1976/1977,ned-knvb-beker-1976-1977
1975/1976,ned-knvb-beker-1975-1976
1974/1975,ned-knvb-beker-1974-1975
1973/1974,ned-knvb-beker-1973-1974
1972/1973,ned-knvb-beker-1972-1973
1971/1972,ned-knvb-beker-1971-1972
1970/1971,ned-knvb-beker-1970-1971
1969/1970,ned-knvb-beker-1969-1970
1968/1969,ned-knvb-beker-1968-1969
1967/1968,ned-knvb-beker-1967-1968
1966/1967,ned-knvb-beker-1966-1967
1965/1966,ned-knvb-beker-1965-1966
1964/1965,ned-knvb-beker-1964-1965
1963/1964,ned-knvb-beker-1963-1964
1962/1963,ned-knvb-beker-1962-1963
1961/1962,ned-knvb-beker-1961-1962
1960/1961,ned-knvb-beker-1960-1961
1959/1960,ned-knvb-beker-1959-1960
1958/1959,ned-knvb-beker-1958-1959
1957/1958,ned-knvb-beker-1957-1958
1956/1957,ned-knvb-beker-1956-1957
