season,slug
2024/2025,pol-ekstraklasa-2024-2025
2023/2024,pol-ekstraklasa-2023-2024
2022/2023,pol-ekstraklasa-2022-2023
2021/2022,pol-ekstraklasa-2021-2022
2020/2021,pol-ekstraklasa-2020-2021
2019/2020 Playoffs,pol-ekstraklasa-2019-2020-playoffs
2019/2020 Abstieg,pol-ekstraklasa-2019-2020-abstieg
2019/2020,pol-ekstraklasa-2019-2020
2018/2019 Playoffs,pol-ekstraklasa-2018-2019-playoffs
2018/2019 Abstieg,pol-ekstraklasa-2018-2019-abstieg
2018/2019,pol-ekstraklasa-2018-2019
2017/2018 Playoffs,pol-ekstraklasa-2017-2018-playoffs
2017/2018 Abstieg,pol-ekstraklasa-2017-2018-abstieg
2017/2018,pol-ekstraklasa-2017-2018
2016/2017 Playoffs,pol-ekstraklasa-2016-2017-playoffs
2016/2017 Abstieg,pol-ekstraklasa-2016-2017-abstieg
2016/2017,pol-ekstraklasa-2016-2017
2015/2016 Playoffs,pol-ekstraklasa-2015-2016-playoffs
2015/2016 Abstieg,pol-ekstraklasa-2015-2016-abstieg
2015/2016,pol-ekstraklasa-2015-2016
2015 Playoffs,pol-ekstraklasa-2015-playoffs
2015 Abstieg,pol-ekstraklasa-2015-abstieg
2014/2015,pol-ekstraklasa-2014-2015
2013/2014 Playoffs,pol-ekstraklasa-2013-2014-playoffs
2013/2014 Abstieg,pol-ekstraklasa-2013-2014-abstieg
2013/2014,pol-ekstraklasa-2013-2014
2012/2013,pol-ekstraklasa-2012-2013
2011/2012,pol-ekstraklasa-2011-2012
2010/2011,pol-ekstraklasa-2010-2011
2009/2010,pol-ekstraklasa-2009-2010
2008/2009,pol-ekstraklasa-2008-2009
2007/2008,pol-ekstraklasa-2007-2008
2006/2007,pol-ekstraklasa-2006-2007
2005/2006,pol-ekstraklasa-2005-2006
2004/2005,pol-ekstraklasa-2004-2005
2003/2004,pol-ekstraklasa-2003-2004
2002/2003,pol-ekstraklasa-2002-2003
2002 Relegation,pol-ekstraklasa-2002-relegation
2002 Meisterschaft,pol-ekstraklasa-2002-meisterschaft
2001/2002,pol-ekstraklasa-2001-2002
2000/2001,pol-ekstraklasa-2000-2001
1999/2000,pol-ekstraklasa-1999-2000
1998/1999,pol-ekstraklasa-1998-1999
1997/1998,pol-ekstraklasa-1997-1998
1996/1997,pol-ekstraklasa-1996-1997
1995/1996,pol-ekstraklasa-1995-1996
1994/1995,pol-ekstraklasa-1994-1995
1993/1994,pol-ekstraklasa-1993-1994
1992/1993,pol-ekstraklasa-1992-1993
1991/1992,pol-ekstraklasa-1991-1992
1990/1991,pol-ekstraklasa-1990-1991
1989/1990,pol-ekstraklasa-1989-1990
1988/1989,pol-ekstraklasa-1988-1989
1987/1988,pol-ekstraklasa-1987-1988
1986/1987,pol-ekstraklasa-1986-1987
1985/1986,pol-ekstraklasa-1985-1986
1984/1985,pol-ekstraklasa-1984-1985
1983/1984,pol-ekstraklasa-1983-1984
1982/1983,pol-ekstraklasa-1982-1983
1981/1982,pol-ekstraklasa-1981-1982
1980/1981,pol-ekstraklasa-1980-1981
1979/1980,pol-ekstraklasa-1979-1980
1978/1979,pol-ekstraklasa-1978-1979
1977/1978,pol-ekstraklasa-1977-1978
1976/1977,pol-ekstraklasa-1976-1977
1975/1976,pol-ekstraklasa-1975-1976
1974/1975,pol-ekstraklasa-1974-1975
1973/1974,pol-ekstraklasa-1973-1974
1972/1973,pol-ekstraklasa-1972-1973
1971/1972,pol-ekstraklasa-1971-1972
1970/1971,pol-ekstraklasa-1970-1971
