season,slug
2024/2025,por-segunda-liga-2024-2025
2023/2024,por-segunda-liga-2023-2024
2022/2023,por-segunda-liga-2022-2023
2021/2022,por-segunda-liga-2021-2022
2020/2021,por-segunda-liga-2020-2021
2019/2020,por-segunda-liga-2019-2020
2018/2019,por-segunda-liga-2018-2019
2017/2018,por-segunda-liga-2017-2018
2016/2017,por-segunda-liga-2016-2017
2015/2016,por-segunda-liga-2015-2016
2014/2015,por-segunda-liga-2014-2015
2013/2014,por-segunda-liga-2013-2014
2012/2013,por-liga-orangina-2012-2013
2011/2012,por-liga-orangina-2011-2012
2010/2011,por-liga-vitalis-2010-2011
2009/2010,por-liga-vitalis-2009-2010
2008/2009,por-liga-vitalis-2008-2009
2007/2008,por-liga-vitalis-2007-2008
