season,slug
2024/2025,rou-liga-1-2024-2025
2023/2024 Relegation,rou-liga-1-2023-2024-relegation
2023/2024 ECL Playoffs,rou-liga-1-2023-2024-ecl-playoffs
2023/2024 Championship,rou-liga-1-2023-2024-championship
2023/2024,rou-liga-1-2023-2024
2022/2023 Relegation,rou-liga-1-2022-2023-relegation
2022/2023 ECL Playoffs,rou-liga-1-2022-2023-ecl-playoffs
2022/2023 Championship,rou-liga-1-2022-2023-championship
2022/2023,rou-liga-1-2022-2023
2021/2022 Relegation,rou-liga-1-2021-2022-relegation
2021/2022 ECL Playoffs,rou-liga-1-2021-2022-ecl-playoffs
2021/2022 Championship,rou-liga-1-2021-2022-championship
2021/2022,rou-liga-1-2021-2022
2020/2021 Relegation,rou-liga-1-2020-2021-relegation
2020/2021 European Playoff,rou-liga-1-2020-2021-european-playoff
2020/2021 Championship,rou-liga-1-2020-2021-championship
2020/2021,rou-liga-1-2020-2021
2019/2020 Relegation,rou-liga-1-2019-2020-relegation
2019/2020 Championship,rou-liga-1-2019-2020-championship
2019/2020,rou-liga-1-2019-2020
2018/2019 Relegation,rou-liga-1-2018-2019-relegation
2018/2019 Championship,rou-liga-1-2018-2019-championship
2018/2019,rou-liga-1-2018-2019
2017/2018 Relegation,rou-liga-1-2017-2018-relegation
2017/2018 Championship,rou-liga-1-2017-2018-championship
2017/2018,rou-liga-1-2017-2018
2016/2017 Relegation,rou-liga-1-2016-2017-relegation
2016/2017 Championship,rou-liga-1-2016-2017-championship
2016/2017,rou-liga-1-2016-2017
2015/2016 Relegation,rou-liga-1-2015-2016-relegation
2015/2016 Championship,rom-liga-1-2015-2016-championship
2015/2016,rom-liga-1-2015-2016
2014/2015,rom-liga-1-2014-2015
2013/2014,rom-liga-1-2013-2014
2012/2013,rom-liga-1-2012-2013
2011/2012,rom-liga-1-2011-2012
2010/2011,rom-liga-1-2010-2011
2009/2010,rom-liga-1-2009-2010
2008/2009,rom-liga-1-2008-2009
2007/2008,rom-liga-1-2007-2008
2006/2007,rom-liga-1-2006-2007
2005/2006,rom-liga-1-2005-2006
2004/2005,rom-liga-1-2004-2005
2003/2004,rom-liga-1-2003-2004
2002/2003,rom-liga-1-2002-2003
2001/2002,rom-liga-1-2001-2002
2000/2001,rom-liga-1-2000-2001
1999/2000,rom-liga-1-1999-2000
1998/1999,rom-liga-1-1998-1999
1997/1998,rom-liga-1-1997-1998
1996/1997,rom-liga-1-1996-1997
1995/1996,rom-liga-1-1995-1996
1994/1995,rom-liga-1-1994-1995
1993/1994,rom-liga-1-1993-1994
1992/1993,rom-liga-1-1992-1993
1991/1992,rom-liga-1-1991-1992
1990/1991,rom-liga-1-1990-1991
1989/1990,rom-liga-1-1989-1990
1988/1989,rom-liga-1-1988-1989
1987/1988,rom-liga-1-1987-1988
1986/1987,rom-liga-1-1986-1987
1985/1986,rom-liga-1-1985-1986
1984/1985,rom-liga-1-1984-1985
1983/1984,rom-liga-1-1983-1984
1982/1983,rom-liga-1-1982-1983
1981/1982,rom-liga-1-1981-1982
1980/1981,rom-liga-1-1980-1981
1979/1980,rom-liga-1-1979-1980
1978/1979,rom-liga-1-1978-1979
1977/1978,rom-liga-1-1977-1978
1976/1977,rom-liga-1-1976-1977
1975/1976,rom-liga-1-1975-1976
1974/1975,rom-liga-1-1974-1975
1973/1974,rom-liga-1-1973-1974
1972/1973,rom-liga-1-1972-1973
1971/1972,rom-liga-1-1971-1972
1970/1971,rom-liga-1-1970-1971
1969/1970,rom-liga-1-1969-1970
1968/1969,rom-liga-1-1968-1969
1967/1968,rom-liga-1-1967-1968
1966/1967,rom-liga-1-1966-1967
1965/1966,rom-liga-1-1965-1966
1964/1965,rom-liga-1-1964-1965
1963/1964,rom-liga-1-1963-1964
1962/1963,rom-liga-1-1962-1963
1961/1962,rom-liga-1-1961-1962
1960/1961,rom-liga-1-1960-1961
1959/1960,rom-liga-1-1959-1960
1958/1959,rom-liga-1-1958-1959
1957/1958,rom-liga-1-1957-1958
1956/1957,rom-liga-1-1956-1957
1955/1956,rom-liga-1-1955-1956
1954/1955,rom-liga-1-1954-1955
1953,rom-liga-1-1953
1952,rom-liga-1-1952
1951,rom-liga-1-1951
1950,rom-liga-1-1950
1948/1949,rom-liga-1-1948-1949
1947/1948,rom-liga-1-1947-1948
1946/1947,rom-liga-1-1946-1947
