season,slug
2024/2025,sco-premiership-2024-2025
2023/2024 Relegation,sco-premiership-2023-2024-relegation
2023/2024 Championship,sco-premiership-2023-2024-championship
2023/2024,sco-premiership-2023-2024
2023 Relegation,sco-premiership-2023-relegation
2023 Championship,sco-premiership-2023-championship
2022/2023,sco-premiership-2022-2023
2022 Relegation,sco-premiership-2022-relegation
2022 Championship,sco-premiership-2022-championship
2021/2022,sco-premiership-2021-2022
2021 Relegation,sco-premiership-2021-relegation
2021 Championship,sco-premiership-2021-championship
2020/2021,sco-premiership-2020-2021
2019/2020,sco-premiership-2019-2020
2019 Relegation,sco-premiership-2019-relegation
2019 Championship,sco-premiership-2019-championship
2018/2019,sco-premiership-2018-2019
2018 Relegation,sco-premiership-2018-relegation
2018 Championship,sco-premiership-2018-championship
2017/2018,sco-premiership-2017-2018
2017 Relegation,sco-premiership-2017-relegation
2017 Championship,sco-premiership-2017-championship
2016/2017,sco-premiership-2016-2017
2016 Relegation,sco-premiership-2016-relegation
2016 Championship,sco-premiership-2016-championship
2015/2016,sco-premiership-2015-2016
2015 Relegation,sco-premiership-2015-relegation
2015 Championship,sco-premiership-2015-championship
2014/2015,sco-premiership-2014-2015
2014 Relegation,sco-premiership-2014-relegation
2014 Championship,sco-premiership-2014-championship
2013/2014,sco-premier-league-2013-2014
2013 Relegation,sco-premiership-2013-relegation
2013 Championship,sco-premiership-2013-championship
2012/2013,sco-premier-league-2012-2013
2012 Relegation,sco-premiership-2012-relegation
2012 Championship,sco-premiership-2012-championship
2011/2012,sco-premier-league-2011-2012
2011 Relegation,sco-premiership-2011-relegation
2011 Championship,sco-premiership-2011-championship
2010/2011,sco-premier-league-2010-2011
2010 Relegation,sco-premiership-2010-relegation
2010 Championship,sco-premiership-2010-championship
2009/2010,sco-premier-league-2009-2010
2009 Relegation,sco-premiership-2009-relegation
2009 Championship,sco-premiership-2009-championship
2008/2009,sco-premier-league-2008-2009
2008 Relegation,sco-premiership-2008-relegation
2008 Championship,sco-premiership-2008-championship
2007/2008,sco-premier-league-2007-2008
2007 Relegation,sco-premiership-2007-relegation
2007 Championship,sco-premiership-2007-championship
2006/2007,sco-premier-league-2006-2007
2006 Relegation,sco-premiership-2006-relegation
2006 Championship,sco-premiership-2006-championship
2005/2006,sco-premier-league-2005-2006
2005 Relegation,sco-premiership-2005-relegation
2005 Championship,sco-premiership-2005-championship
2004/2005,sco-premier-league-2004-2005
2004 Relegation,sco-premiership-2004-relegation
2004 Championship,sco-premiership-2004-championship
2003/2004,sco-premier-league-2003-2004
2003 Relegation,sco-premiership-2003-relegation
2003 Championship,sco-premiership-2003-championship
2002/2003,sco-premier-league-2002-2003
2002 Relegation,sco-premiership-2002-relegation
2002 Championship,sco-premiership-2002-championship
2001/2002,sco-premier-league-2001-2002
2001 Relegation,sco-premiership-2001-relegation
2001 Championship,sco-premiership-2001-championship
2000/2001,sco-premier-league-2000-2001
1999/2000,sco-premiership-1999-2000
1998/1999,sco-premiership-1998-1999
