season,slug
2024/2025,champions-league-qual-2024-2025
2023/2024,champions-league-qual-2023-2024
2022/2023,champions-league-qual-2022-2023
2021/2022,champions-league-qual-2021-2022
2020/2021,champions-league-qual-2020-2021_2
2019/2020,champions-league-qual-2019-2020
2018/2019,champions-league-qual-2018-2019
2017/2018,champions-league-qual-2017-2018
2016/2017,champions-league-qual-2016-2017
2015/2016,champions-league-qual-2015-2016
2014/2015,champions-league-qual-2014-2015
2013/2014,champions-league-qual-2013-2014
2012/2013,champions-league-qual-2012-2013
2011/2012,champions-league-qual-2011-2012
2010/2011,champions-league-qual-2010-2011
2009/2010,champions-league-qual-2009-2010
2008/2009,champions-league-qf-2008-2009
2007/2008,champions-league-qualifikation-2007-2008
2006/2007,champions-league-qualifikation-2006-2007
2005/2006,champions-league-qualifikation-2005-2006
2004/2005,champions-league-qualifikation-2004-2005
2003/2004,champions-league-qualifikation-2003-2004
2002/2003,champions-league-qualifikation-2002-2003
2001/2002,champions-league-qualifikation-2001-2002
2000/2001,champions-league-qualifikation-2000-2001
1999/2000,champions-league-qualifikation-1999-2000
1998/1999,champions-league-qualifikation-1998-1999
1997/1998,champions-league-qualifikation-1997-1998
1996/1997,champions-league-qualifikation-1996-1997
1995/1996,champions-league-qualifikation-1995-1996
1994/1995,champions-league-qualifikation-1994-1995
1993/1994,champions-league-qualifikation-1993-1994
1992/1993,champions-league-qualifikation-1992-1993
1982/1983,champions-league-qualifikation-1982-1983
1981/1982,champions-league-qualifikation-1981-1982
1980/1981,champions-league-qualifikation-1980-1981
1979/1980,champions-league-qualifikation-1979-1980
1978/1979,champions-league-qualifikation-1978-1979
1971/1972,champions-league-qualifikation-1971-1972
1970/1971,champions-league-qualifikation-1970-1971
1969/1970,champions-league-qualifikation-1969-1970
1966/1967,champions-league-qualifikation-1966-1967
